"","V1"
"107867549584992","106.7015-106.68441398812-106.68441398812-106.6969528-106.6972809-106.69719203186-106.684784-106.70682529841"
"112036512495862","106.70304728673-106.6992957846-106.6950871708-106.72197311559-106.72180771764-106.73539745265-106.705658-106.7296753-106.69685943794"
"118907701812571","106.72180771764-106.70304728673-106.84798991-106.7015-106.7607056-106.68441398812-106.68441398812-106.682"
"127899517575510","106.70763201883-106.68439116-106.6867828-106.7047577-106.69894492325-106.70481190705-106.6950871708-106.72180771764-106.7296753-106.7015-106.7607056-106.71979033289-106.68441398812-106.6992957846-106.69495011742-106.682-106.6506958-106.70763201883-106.690557775-106.6994095-106.69129653645-106.7365646-106.66667-106.693573"
"128541460842924","106.72180771764-106.73539745265-106.7607056-106.6992957846-106.64089067849-106.685997-106.65364089422-106.70286708101"
"132782073751593","106.7296753-106.6994095-106.7296753-106.7296753-106.7296753-106.70763201883-106.7296753-106.7296753-106.7296753-106.72993509444-106.7296753"
"133858413643559","106.7047577-106.682-106.70763201883-106.6992957846-106.6950871708-106.69324462937-106.70304728673-106.84798991-106.7296753-106.7015-106.68441398812-106.70763201883"
"135085436853805","106.6961517-106.7047577-106.69902420618-106.72197311559-106.75694444444"
"136742366687500","106.6992957846-106.69324462937-106.72197311559-106.72180771764-106.75694444444-106.7296753-106.68441398812"
"139493729744950","106.71979033289-106.6992957846-106.69495011742-106.690557775-106.67423232269-106.63438665959-106.72993509444-106.6417389-106.70329029588-106.61784755225-106.71979033289-106.70286708101"
"140561939637308","106.6994095-106.6961517-106.68613586022-106.72180771764-106.68441398812-106.68441398812-106.6506958-106.70763201883"
"140645352966158","106.72180771764-106.70304728673-106.84798991-106.7015-106.68970151-106.7607056-106.68441398812-106.6992957846-106.68441398812-106.682-106.70763201883-106.690557775-106.7296753-106.69890864563-106.7296753-106.69050920894-106.63438665959-106.6963425-106.703611111-106.67391541154"
"141680539527313","106.72180771764-106.7296753-106.71979033289-106.682-106.66667-106.72984182833"
"142515806113859","106.70304728673-106.68441398812-106.72984182833-106.67391541154"
"142881026070824","106.682-106.72197311559-106.75694444444-106.84798991-106.7296753-106.68441398812-106.682"
"143762049315634","106.70763201883-106.70481190705-105.84945089507-106.70763201883-106.68439116-106.64913793909-106.72381019257-106.75694444444-106.84798991-106.7296753-106.70763201883-106.70763201883-106.70713766289-106.70713766289-106.69424160194-106.70758258023-106.72638888889-106.70713766289-106.72993509444-106.68070414717-106.70329029588-106.67391541154-106.70713766289-106.7045288-106.72054156228-106.71979033289-106.66977825687"
"144691249221157","106.75694444444-106.84798991-106.7607056-106.6992957846-106.68441398812-106.6969528-106.63438665959-106.71979033289"
"148379555518355","106.70481190705-106.70481190705-106.70481190705-106.70481190705-106.70481190705-106.70481190705"
"152514838439215","106.72197311559-106.70304728673-106.84798991-106.7296753-106.68441398812-106.682-106.70763201883-106.693573-106.69424160194-106.72984182833-106.69565677643-106.6963425-106.72993509444"
"154711438221800","106.682-106.7022018-106.6992957846-106.6950871708-106.72197311559-106.72180771764-106.70304728673-106.75694444444-106.7296753-106.71979033289-106.68441398812-106.68441398812-106.682"
"166359100384831","106.6852646-106.69358937319-106.7607056-106.68441398812-106.6992957846-106.69495011742-106.682-106.63438665959"
"167105196975226","106.70763201883-105.84945089507-106.7034455236-106.682-106.72180771764-106.75694444444-106.7296753-106.68441398812-106.68441398812-106.68441398812"
"170919729923576","106.6953964-106.65038104754-106.6950871708-106.72180771764-106.6313525-106.7607056-106.69495011742-106.690557775-106.696373-106.713295-106.6961517-106.71979033289-106.70286708101"
"171160366569555","106.70405848694-106.72946533074-106.6994095-106.7025299-106.68439116-106.6867828-106.66667-106.7047577-106.7034455236-106.69894492325-106.70481190705-106.6992957846-106.64913793909-106.70594676208-106.68613586022-106.6950871708-106.69324462937-106.68779625368-106.72180771764-106.73539745265-106.7721379375-106.705658-106.84798991-106.7296753-106.69685943794-106.7607056-106.68441398812-106.68441398812-106.68441398812-106.682-106.69894492325-106.7365646-106.693573"
"171534213198113","106.68227894974-106.682-106.7573735832-106.6992957846-106.69358937319-106.6806717-106.72197311559-106.72180771764-106.75694444444-106.7296753-106.7015-106.7607056-106.71979033289-106.68441398812-106.6992957846-106.69495011742-106.68441398812-106.682-106.690557775-106.696373-106.703611111-106.711407-106.72993509444-106.60165863424-106.70337684453-106.66739702225-106.72054156228-106.71979033289-106.70286708101"
"171950143153804","106.6992957846-106.72197311559-106.72180771764-106.7296753-106.7607056-106.71979033289-106.68441398812-106.6992957846-106.68441398812-106.64089067849-106.69424160194-106.69719203186-106.70286708101"
"172315433118941","106.6852646-106.72180771764-106.69424160194-106.69050920894-106.61765917017"
"173533356327149","106.70304728673-106.7022018-106.69894492325-106.6992957846-106.69324462937-106.72197311559-106.72180771764-106.75694444444-106.7296753-106.68441398812"
"175831896097425","106.70713766289-106.84798991-106.70713766289-106.70713766289-106.70713766289-106.70713766289"
"178510749163505","106.682-106.7022018-106.75694444444-106.7015-106.7607056-106.72984182833-106.63438665959-106.70329029588"
"181197955557698","106.6950871708-106.72180771764-106.69495011742-106.68441398812-106.690557775-106.690557775-106.64089067849-106.696373-106.7737198-106.66667-106.70286708101"
"183303732011968","106.68441398812-106.69495011742-106.690557775-106.64089067849-106.682-106.696373"
"183740808638809","106.682-106.69902420618-106.70481190705-106.6992957846-106.64913793909-106.68441398812-106.70763201883"
"184243938587150","106.70304728673-106.6988678-106.69894492325-106.7737198-106.682-106.6811295-106.7022018-106.69894492325-106.6992957846-106.6806717-106.68817578305-106.75694444444-106.84798991-106.7296753-106.68441398812-106.6992957846-106.68441398812-106.68441398812-106.70763201883-106.7110663-106.690557775-106.69894492325-106.67423232269-106.72802696-106.69719203186-106.61784755225"
"188622934811728","106.71979033289-106.69495011742-106.72477507064-106.72638888889-106.61765917017"
"188774291465079","106.682-106.6811295-106.6992957846-106.69358937319-106.6950871708-106.72180771764-106.75694444444-106.6992957846-106.68441398812-106.682-106.690557775"
"188932614781344","106.70283202505-106.7607056-106.6992957846-106.64089067849-106.85665970168-106.72054156228"
"189917894683001","106.70304728673-106.6953964-105.84945089507-106.682-106.70763201883-106.70011027527-106.64913793909-106.72197311559-106.75694444444-106.7607056-106.68441398812-106.6992957846-106.69849984932-106.693573-106.69424160194-106.63438665959-106.70329029588-106.70682529841"
"190802747923257","106.70763201883-106.7022018-106.6950871708-106.72180771764-106.75694444444-106.84798991-106.68441398812-106.68441398812-106.69849984932"
"191477854524248","106.682-106.7022018-106.72180771764-106.75694444444-106.7607056-106.6992957846-106.69495011742-106.690557775"
"191768501165993","106.7607056-106.69495011742-106.68441398812-106.690557775-106.69050920894-106.703611111-106.68284527939"
"191860567816048","106.6988678-106.71578443662-106.7034455236-106.70763201883-106.7022018-106.6992957846-106.682-106.67784619184-106.7098236-106.7015-106.72180771764-106.7607056-106.6992957846-106.68441398812-106.682-106.690557775-106.65750606728-106.69129653645-106.6946564-106.768760934-106.69111664667-106.69050920894-106.6722132054"
"192136344460462","106.79328430398-106.65482121754-106.7607056-106.71979033289-106.65770991516-106.68441398812-106.68441398812-106.6559067-106.7183914-106.768760934-106.66802465916-106.69490278-106.68284527939"
"192474881087926","106.71979033289-106.690557775-106.690557775-106.70011027527-106.6988678-106.61765917017"
"192639284405898","106.6811295-106.6992957846-106.6950871708-106.75694444444-106.71979033289-106.6992957846-106.69841-106.71979033289"
"193016494372691","106.70304728673-106.70763201883-106.6811295-106.7022018-106.70481190705-106.72381019257-106.75694444444-106.7296753-106.70602634292-106.7296753"
"193719064300608","106.70481190705-106.70763201883-106.70481190705-106.70481190705-106.70481190705-106.70481190705-106.70481190705-106.70481190705-106.70481190705-106.70481190705"
"195686584102673","106.79328430398-106.70763201883-106.66667-106.7607056-106.690557775-106.66573171477-106.69050920894-106.61765917017-106.71979033289"
"208501676148665","106.75694444444-106.68004735184-106.69495011742-106.690557775-106.6414795"
"218413778490224","106.68613586022-106.72180771764-106.7296753-106.68441398812-106.68441398812-106.682-106.71979033289"
"392648814275684","106.75694444444-106.7607056-106.6992957846-106.64089067849-106.696373-106.682-106.63438665959-106.61765917017-106.71979033289"
"407083886168985","106.682-106.72197311559-106.72180771764-106.7607056-106.696373-106.69424160194-106.67391541154"
"407511526113695","106.682-106.682-106.682-106.65770991516-106.65770991516-106.65770991516-106.65770991516-106.65770991516-106.65770991516"
"411111455752491","106.7022018-106.69495011742-106.68441398812-106.690557775-106.690557775-106.66667"
"412039719004284","106.6811295-106.6992957846-106.682-106.69358937319-106.70736002973-106.72180771764-106.75694444444-106.7607056"
"414349972092722","106.70481190705-106.7296753-106.6950871708-106.70763201883-106.70763201883"
"414599392078162","106.75694444444-106.7607056-106.69495011742-106.64089067849-106.696373-106.713295-106.69424160194-106.63438665959"
"417376031789328","106.7022018-106.72180771764-106.71979033289-106.68441398812-106.68441398812-106.6992957846-106.690557775-106.696373-106.69424160194-106.72638888889-106.63438665959-106.703611111-106.61765917017-106.70286708101"
"421832248016283","106.65482121754-106.682-106.69495011742-106.654713825-106.68284527939-106.71904371941-106.71813203764-106.71979033289"
"426160660911320","106.70763201883-106.66001498062-106.69894492325-106.72197311559-106.72180771764-106.70304728673-106.84798991-106.7296753-106.68441398812-106.68441398812-106.68441398812-106.68441398812-106.70763201883-106.690557775-106.690557775-106.72984182833-106.7296753"
"427463854124684","106.70736002973-106.72180771764-106.7296753-106.71979033289-106.6992957846-106.69495011742-106.685997-106.69424160194-106.63438665959-106.654713825-106.71904371941-106.70682529841-106.72054156228-106.71979033289"
"431568943719678","106.75694444444-106.682-106.690557775-106.690557775-106.64089067849-106.63438665959-106.65611311028-106.70060044635-106.68307222528-106.61765917017-106.70286708101"
"432862853587844","106.68970151-106.63438665959-106.6988678-106.6988678-106.6988678-106.71979033289"
"433606973494655","106.7015-106.71979033289-106.6992957846-106.70763201883-106.72028048706-105.85777777778-106.69050920894"
"434633080062354","106.6988678-106.7161179-106.72180771764-106.6992957846-106.69495011742-106.682-106.690557775-106.685997-106.61765917017"
"434654790068060","106.72180771764-106.69495011742-106.690557775-106.654713825"
"434733423404517","106.7022018-106.66667-106.682-106.7015-106.68970151-106.6992957846-106.68441398812-106.682-106.690557775-106.7296753-106.69424160194"
"437117823155914","106.7022018-106.75694444444-106.7296753-106.68441398812-106.7110663-106.690557775"
"438497626347417","106.6992957846-106.69358937319-106.7607056-106.690557775-106.696373"
"442822525920982","106.68439116-106.70713766289-106.70713766289-106.70713766289-106.70473966781-106.70713766289"
"447314352120923","106.70763201883-106.70481190705-106.72381019257-106.75694444444-106.84798991-106.7296753-106.6842346-106.70763201883-106.7110663-106.690557775-106.690557775"
"449296218608148","106.72180771764-106.7607056-106.71572151-106.6915436-106.69771298045-106.69841-106.67391541154"
"449445798585494","106.70763201883-106.75694444444-106.7607056-106.6992957846-106.69495011742-106.7110663-106.63438665959-106.60165863424-106.68070414717-106.684227-106.72054156228-106.71979033289"
"450037791864047","106.6992957846-106.7607056-106.682-106.690557775-106.64089067849-106.63438665959"
"450738748448749","106.70304728673-106.72381019257-106.7015-106.68970151-106.71979033289-106.682-106.68441398812-106.68441398812-106.68441398812-106.70763201883-106.6241884-106.682-106.70763201883-106.690557775-106.690557775-106.7296753-106.69890864563-106.70763201883-106.69894492325-106.7296753-106.72984182833-106.69050920894-106.682-106.7296753-106.70738639548-106.69111664667-106.66802465916-106.63438665959-106.65364089422-106.6963425-106.70481190705-106.711407-106.72993509444-106.70763201883-106.60165863424-106.70667421438-106.6961517-106.67391541154-106.7021118103-106.66739702225-106.73236115646-106.72054156228"
"452102751642373","106.7232360037-106.6909943-106.66825038646-106.70509726977-106.6950871708-106.84798991-106.73345281553-106.69129653645-106.70404717534-106.69902420618-105.85777777778-106.85665970168-106.6924667-106.68172176667-106.696373-106.6653771157-106.68284527939"
"454659104742450","106.7022018-106.75694444444-106.7296753-106.7607056-106.71979033289-106.6992957846-106.68441398812-106.682-106.685997-106.63438665959-106.71813203764-106.72054156228-106.71979033289-106.70286708101"
"457613797776937","106.75694444444-106.7296753-106.6992957846-106.690557775-106.60165863424-106.684784"
"466007660245159","106.66667-106.7607056-106.69495011742-106.690557775-106.64089067849-106.66317146073-106.67391541154-106.68816115-106.71979033289"
"466188870251315","106.69241100724-106.6867828-106.6961178457-106.68613586022-106.6806717-106.68441398812-106.6241884-106.682-106.690557775-106.703611111-106.67784619184"
"467894660064257","105.84945089507-106.7022018-106.70736002973-106.72180771764-106.72381019257-106.75694444444-106.7296753-106.68970151-106.69424160194-106.71813203764-106.71979033289-106.66977825687"
"469001606618204","106.68227894974-106.70763201883-106.6286697-106.6806717-106.72180771764-106.75694444444-106.7296753-106.7607056-106.68441398812-106.6992957846-106.690557775-106.64089067849-106.63438665959-106.71979033289"
"470525663152772","106.7022018-106.75694444444-106.6992957846-106.682-106.69424160194-105.90870925333-106.7047577-106.66739702225"
"473057772881230","106.70763201883-106.67917191982-106.68613586022-106.75694444444-106.70713766289-106.84798991-106.7296753-106.7025299-106.68004735184-106.7607056-106.6888809-106.68441398812-106.682-106.69849984932-106.690557775-106.7296753-106.7296753"
"478602778968260","106.70080555556-106.75694444444-106.7607056-106.71979033289-106.6992957846-106.69495011742-106.682-106.690557775-106.690557775"
"484056645108661","106.7047577-106.7034455236-106.6286697-106.6950871708-106.72180771764-106.7607056-106.71979033289-106.68441398812-106.64089067849-106.69050920894-106.7047577-105.90870925333"
"484346231726681","106.79328430398-106.6992957846-106.7607056-106.69495011742-106.65364089422-106.703611111-106.61765917017"
"489106891271298","106.6992957846-106.64089067849-106.63438665959-106.65364089422-106.7006302-106.70286708101"
"490917987736402","106.79328430398-106.7737198-106.6811295-106.7022018-106.682-106.69358937319-106.75694444444-106.6992957846-106.690557775-106.682-106.68803669254-106.69490278"
"491323391040278","106.67423232269-106.7022018-106.682-106.7607056-106.6992957846-106.64089067849-106.685997"
"492840054230193","106.71979033289-106.6992957846-106.69495011742-106.682-106.690557775-106.82437254073-106.69050920894-106.69841-106.63438665959-106.703611111-106.61765917017-106.71979033289"
"493132844181060","106.7607056-106.71979033289-106.68441398812-106.68441398812-106.690557775-106.69307215881"
"493639604146555","106.6992957846-106.69358937319-106.71979033289-106.690557775-106.64089067849-106.63438665959"
"495668803924783","106.6961178457-106.682-106.682-106.69358937319-106.72197311559-106.71979033289-106.682"
"495946033916246","106.70713766289-106.70713766289-106.70713766289-106.70713766289-106.70713766289-106.70713766289-106.70713766289-106.70713766289-106.70713766289"
"496733093842097","106.71979033289-106.69495011742-106.690557775-106.690557775-106.64089067849-106.63438665959-106.67391541154-106.71904371941"
"496744447165828","106.6992957846-106.72197311559-106.72180771764-106.7607056-106.71979033289-106.69495011742-106.690557775-106.690557775-106.64089067849-106.696373-106.69424160194-106.63438665959"
"497255913789754","106.72180771764-106.75694444444-106.71979033289-106.6992957846-106.690557775-106.64089067849"
"497776730383774","106.75694444444-106.7607056-106.690557775-106.64089067849-106.696373"
"499389476898835","106.72180771764-106.71979033289-106.68441398812-106.6992957846-106.69495011742-106.68441398812-106.690557775-106.690557775-106.69841-106.703611111-106.682-106.684784-106.61765917017-106.70286708101"
"500427516800893","106.70763201883-106.70304728673-106.75694444444-106.71979033289-106.682-106.690557775-106.690557775"
"500861113420487","106.7607056-106.6992957846-106.690557775-106.690557775-106.682-106.79841756821-106.63438665959-106.71813203764-106.70286708101"
"501292240049036","106.6988678-106.7022018-106.75694444444-106.7607056-106.71979033289-106.69495011742-106.690557775"
"502050883292358","106.70763201883-106.72180771764-106.7607056-106.69495011742-106.690557775-106.696373-106.69424160194-106.63438665959"
"503202219861778","106.84798991-106.7296753-106.7607056-106.6992957846-106.7296753-106.66802465916-106.7249069-106.65611311028-106.70286708101"
"504382579740186","106.79328430398-106.65384453997-106.7022018-106.69358937319-106.72180771764-106.7607056-106.69495011742-106.7033615-106.71572151-106.69424160194-106.682"
"507563852747117","106.75694444444-106.68441398812-106.682-106.690557775"
"508149802696009","106.70405848694-106.7047577-106.72180771764-106.68613586022-106.69495011742-106.684396047-106.684396047-106.69685943794-106.7047577-106.703611111"
"508592469316630","106.68227894974-106.6992957846-106.72197311559-106.72180771764-106.690557775-106.64089067849-106.63438665959"
"509287069249674","106.66667-106.7607056-106.6992957846-106.69495011742-106.69424160194-106.61765917017"
"510174425812339","106.7737198-106.7047577-106.6950871708-106.6992957846-106.69495011742-106.64089067849-106.69050920894-106.7417328-106.61765917017"
