"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"107867549584992","✔-0.463709316319346","ho�c-0.406610690572183","izi-0.302649663939828","bỏng-0.301986506532486","tieng-0.288609681060064","anh-0.281280850247481","hoc-0.258137821023024","fulbright-0.223063468123107","und-0.220073341204566","berlin-0.194662722082115","earli-0.181543683944411","travel-0.178883415247512","fun-0.169685469679301","hỏi-0.16729760109233","hear-0.154549470461914","ban-0.153511326840709","discretion-0.146584564766613","dissapoint-0.146584564766613","and-0.142149278676795","tuan-0.141619390606747","pleas-0.139102917453833","dai-0.134130075379576","avoid-0.132298850480899","fabul-0.132298850480899","generous-0.132298850480899","whos-0.132298850480899","izienglish-0.130766949819561","httpgooglformsjrifmozzb-0.129339321852894","phi-0.129073383967227","truong-0.126990201117972","nganh-0.124750629367993","hang-0.12439234175546","tin-0.124065448577738","massiv-0.123942243327739","mien-0.12351899089426","duc-0.120470601068124","thoi-0.119826953464143","izitalk-0.11931301783329","nhung-0.119233722805139","ielts-0.118384557614069","our-0.117462068975949","arts-0.113414163411079","for-0.113094330608851","bbs-0.111531734061553","khó-0.111531734061553","phỏng-0.111531734061553","aim-0.110985560788903","fur-0.110036670602283","hochschul-0.110036670602283","cua-0.109990575174946","rsvp-0.109656529042025","sing-0.109656529042025","cafe-0.108227711588796","time-0.107687612495235","thu-0.106387460638551","johnson-0.10434833424064","jwu-0.10434833424064","academi-0.104345735921437","anyon-0.10372742190947","des-0.10372742190947","finger-0.10372742190947","relax-0.101299921888866","chuản-0.100662168844162","hãi-0.100662168844162","ngũ-0.100662168844162","ván-0.100662168844162","tai-0.100465051093329","★-0.0993765171594517","trang-0.0980941167996762","wednesday-0.0971641130717944","tip-0.0960572038798012","dec-0.0953708147563107","everyon-0.0953708147563107","dúng-0.0943038807928451","duòng-0.0943038807928451","cours-0.0937211402217402","chus-0.0927539820403017","easier-0.0927539820403017","funnier-0.0927539820403017","thuyet-0.090234709751382","year-0.0901531030385941","provid-0.0899861019012356","space-0.0881922384630366","websit-0.0871216048087237","bi�-0.086293385204082","gian-0.08622791586853","last-0.0858998860031331","network-0.0858998860031331","talk-0.0858998860031331","hotel-0.0848689147207916","nhuan-0.0845404955747571","khong-0.0845206141138713","this-0.0838828378609542","own-0.0838371730126306","wwwizienglishnet-0.0827383478796607","with-0.082702780554774","wirtschaft-0.0825275029517124","wwwdaadvnorgfair-0.0825275029517124","even-0.0819622511086556","mình-0.0810170066478837"
"112036512495862","barcamp-0.376054642594976","live-0.298535901469215","and-0.295184168356935","the-0.243237442521878","cac-0.236124879571295","dap-0.229107239037293","nhau-0.225428420886478","cong-0.215012056305891","pmbok-0.212958988903009","swan-0.199241155993454","ngua-0.19825689825073","for-0.1831878208967","khac-0.181954375456848","who-0.178193949191899","chuan-0.163700298428196","vnhr-0.161059470150659","★-0.15609559396032","quoc-0.15531492789828","linh-0.14663017181666","band-0.144482789812059","thanh-0.141310716666276","trong-0.140177415636202","pot-0.138222679606909","gita-0.133838080873864","quan-0.130322110523887","hoi-0.130306119278373","melt-0.129491896014056","trung-0.12507479766025","set-0.122094730110566","christma-0.121571253080833","ngan-0.120727009169998","quyet-0.115756176229542","cua-0.115199120124542","tieu-0.114797729180831","mean-0.114712111405727","present-0.113352012785219","year-0.113120504395381","expo-0.108951994513681","barcampsaigon-0.107444183598564","event-0.107222550954755","languag-0.105875269419886","dung-0.10453246989471","saigon-0.103017758585528","vuc-0.102126257327991","you-0.100135321918506","gael-0.0996205779967272","margharita-0.0996205779967272","nonmemb-0.0996205779967272","once-0.0996205779967272","pet-0.0996205779967272","sangria-0.0996205779967272","hieu-0.0932506246386754","dance-0.0926062718760152","ung-0.0922141866321558","vien-0.0911309829124877","freeflow-0.0899118401326496","package-0.0899118401326496","most-0.0896517154153045","make-0.0885530061266371","peopl-0.087064421799079","nam-0.0868886688611305","yeu-0.085546656941943","van-0.0847661469466718","are-0.0846397380530063","turkey-0.0842325925528325","keep-0.0836000459543144","chia-0.0833434002575252","flag-0.0821274976425056","phu-0.0809063689072938","well-0.0807433502937725","�moi-0.0805297350753296","phut-0.080523348161903","lam-0.0802627315174625","affair-0.0802031022685719","bay-0.079590518231648","nhieu-0.0781074717078711","paid-0.0770775867842286","vietnam-0.0770418950267477","gun-0.0765740263706187","hardcor-0.0765740263706187","performance-0.0765740263706187","tap-0.0762417856112807","will-0.0762025287514353","that-0.0760975192641693","nuoc-0.0758537135665625","over-0.0746786445914331","noi-0.0746522338050778","true-0.0745238546887548","ticket-0.0738099671122864","dinh-0.0733552164618166","its-0.0731593092567818","chuc-0.0728698926021282","trien-0.0719120683747898","ngu-0.071692415760222","wild-0.0711885025865041","finger-0.0704943644044942","player-0.0704943644044942","track-0.0704943644044942","win-0.0704943644044942","vnd-0.0699554961341963"
"118907701812571","ảm-0.540048396508574","quóc-0.540048396508574","thỏ-0.540048396508574","vùng-0.540048396508574","lãnh-0.487416817561206","lón-0.45662931752325","lẽ-0.434785238613837","vie�t-0.434785238613837","✔-0.428896590610253","nhát-0.417841654672397","thu�c-0.403997738575882","su�-0.392292874295016","của-0.365210075725029","ho�i-0.351366159628513","vói-0.334422575687073","tieng-0.313447228579941","izi-0.302649663939828","httpessenceyeuthuongchinhminhcom-0.301791750990085","httpswwwfacebookcomcongdongessencevietnam-0.301791750990085","httpswwwfacebookcomessenceyeuthuongchinhminhfrefts-0.301791750990085","vietnamessencegmailcom-0.301791750990085","wwwessencevietnamcom-0.301791750990085","anh-0.276338670729319","hoc-0.244660791673479","websit-0.235707380718046","und-0.220073341204566","gia-0.217426595918715","berlin-0.194662722082115","hon-0.187391555144789","nam-0.162949468375774","dai-0.150771973162989","tham-0.147581342626516","som-0.14633874455296","noi-0.146128653604333","phi-0.142668252275328","facebook-0.141220232794871","art-0.134138826122703","trang-0.132698859658737","thac-0.131205631228398","izienglish-0.130766949819561","httpgooglformsjrifmozzb-0.129339321852894","gon-0.128772837773561","tuan-0.128181725168853","mac-0.126155458603839","sai-0.124663285901013","vingalleri-0.12251844219299","hang-0.119860358299416","izitalk-0.11931301783329","made-0.112769544475367","hous-0.11271242869301","dang-0.111781380760502","event-0.111048005852406","fur-0.110036670602283","hochschul-0.110036670602283","expo-0.108951994513681","cafe-0.108227711588796","ban-0.106252216289617","truoc-0.104167337518823","ingrosso-0.103995806084421","xin-0.103513310213581","moi-0.102301458327268","email-0.100824397632299","cho-0.0976245039034682","toi-0.0972862142039133","tip-0.0960572038798012","thu-0.0951894727123764","nuoc-0.094509700015935","axwell-0.0938606709492862","truong-0.0928550604295677","chus-0.0927539820403017","easier-0.0927539820403017","funnier-0.0927539820403017","market-0.0909797091533752","thuyet-0.090234709751382","nghe-0.0886737534282325","vui-0.0874859849045751","toan-0.0867069581876044","duc-0.0849197665559137","and-0.0846041577549841","chung-0.0837974908076801","wwwizienglishnet-0.0827383478796607","wirtschaft-0.0825275029517124","wwwdaadvnorgfair-0.0825275029517124","lien-0.0821734268578602","voi-0.0809328912525291","izishar-0.077822853224058","hoi-0.0764396424981152","cac-0.0763379922674628","long-0.0749021769410818","nang-0.0747767878345054","the-0.0744034331970713","thang-0.0721687941114468","die-0.0697798152783519","quoc-0.0696454570823084","better-0.0694983996945958","httpkoawfestivalcom-0.0693305373896142","khong-0.0691545025960647","famous-0.0689339991387731","tin-0.0683088410183004","nhuan-0.0682642653543313"
"127899517575510","caus-1.18013136195184","xmas-1.13414163411079","for-1.09318239845797","latino-0.841901775787537","good-0.802437620555454","shop-0.778503643497033","time-0.617884248249102","and-0.604120511310749","ali-0.603583501980171","ảm-0.540048396508574","quóc-0.540048396508574","thỏ-0.540048396508574","vùng-0.540048396508574","cuban-0.525815577754045","lãnh-0.487416817561206","music-0.483653004865162","regga-0.458939974092384","lón-0.45662931752325","❃-0.454022988215173","soon-0.446906528259388","food-0.440595054465682","come-0.439565076755535","lẽ-0.434785238613837","vie�t-0.434785238613837","check-0.430997064059783","the-0.42196910618168","nhát-0.417841654672397","hoc-0.409720821423707","thu�c-0.403997738575882","su�-0.392292874295016","hung-0.391330784014237","tune-0.385499524376419","info-0.377860439723645","barcamp-0.376054642594976","everyon-0.370886501830097","festiv-0.366266387075632","của-0.365210075725029","test-0.365091400239002","more-0.365034654917937","vói-0.364394410300537","ho�i-0.351366159628513","art-0.333018266242126","live-0.330993354448424","anh-0.330130263492382","stay-0.326033450604675","hour-0.318742087644772","back-0.315330946274542","phim-0.314942878709082","saigon-0.303216550539689","izi-0.302649663939828","our-0.302166925708126","httpessenceyeuthuongchinhminhcom-0.301791750990085","httpswwwfacebookcomcongdongessencevietnam-0.301791750990085","httpswwwfacebookcomessenceyeuthuongchinhminhfrefts-0.301791750990085","vietnamessencegmailcom-0.301791750990085","wwwessencevietnamcom-0.301791750990085","tham-0.293847455529261","corazon-0.280633925262512","habana-0.280633925262512","chieu-0.276841183634606","trai-0.274969172155047","authent-0.262907788877023","cuba-0.262907788877023","share-0.261462815665848","moi-0.255356363080843","san-0.255146069816157","websit-0.251352920930303","cong-0.250278431549513","band-0.243789339367617","nhac-0.243739996805505","hoi-0.241141904019265","autom-0.240490301570224","→-0.239336745736324","dac-0.236548855055167","dai-0.233092810968805","readi-0.232903589757993","chef-0.232604758573992","nam-0.230513185883752","your-0.228612638927561","bao-0.224956377032952","duc-0.224536084885036","voi-0.22372276593836","und-0.220073341204566","virgin-0.218761878747943","buoi-0.21653635902894","gia-0.216530704532007","ban-0.212856479505841","night-0.21278931840759","abstract-0.21229488690337","acid-0.21229488690337","hon-0.210448876701215","direct-0.210272467841683","truoc-0.207181446678444","cultur-0.202301728270962","khach-0.201990300203294","trang-0.201808490040141","startup-0.199821769259001","★-0.199430271934769","biet-0.197756846373986","kop-0.196068526120947"
"128541460842924","ảm-0.540048396508574","quóc-0.540048396508574","thỏ-0.540048396508574","vùng-0.540048396508574","lẽ-0.527604559216791","ho�i-0.501387665986755","thu�c-0.490244446811183","lãnh-0.487416817561206","su�-0.476040791279345","lón-0.45662931752325","vie�t-0.434785238613837","nhát-0.417841654672397","của-0.365210075725029","vói-0.364394410300537","bakerland-0.356189212833189","nguoc-0.323957628771094","demo-0.31772767437165","mien-0.305885710970605","nam-0.270998477682266","hoi-0.224792755487699","tai-0.214723411924696","swan-0.199241155993454","hon-0.194481626447065","và-0.191324394368823","hie�n-0.185638641205908","sách-0.185638641205908","nói-0.178404301994956","who-0.178193949191899","tphcm-0.165874360922293","cua-0.163498644961651","quoc-0.161778177991393","nhat-0.160305399608796","có-0.159348191735294","gia-0.157757094312586","and-0.156767597698371","tre-0.142414231905227","dem-0.140725262419271","dap-0.132069225364665","nhieu-0.129132176305077","gioi-0.123801204029017","sac-0.123567051089078","tham-0.122070925880941","christma-0.121571253080833","cac-0.115322697038621","cho�-0.115291230715314","hoành-0.115291230715314","httpthichdocsachorgthreadshoisachtphcmtaicongvienlevantam-0.115291230715314","mièn-0.115291230715314","buoi-0.111667981886339","expo-0.108951994513681","thuong-0.106420590983412","lan-0.106329603697794","chet-0.105474970918943","the-0.105156190972092","khi-0.104878144747296","duoc-0.104840032106671","dã-0.104055275659134","hoa�ch-0.104055275659134","làn-0.104055275659134","nghĩa-0.104055275659134","quá-0.104055275659134","tha�t-0.104055275659134","tỉnh-0.104055275659134","dich-0.103222217137432","vck-0.102609195336629","for-0.102480299580836","noi-0.101611506719177","ngoai-0.101123500370686","minh-0.100930614935722","cung-0.100301030626998","gael-0.0996205779967272","margharita-0.0996205779967272","nonmemb-0.0996205779967272","once-0.0996205779967272","pet-0.0996205779967272","sangria-0.0996205779967272","nien-0.098293961180771","chát-0.0974826632914803","kỳ-0.0974826632914803","nuóc-0.0974826632914803","tráng-0.0974826632914803","vao-0.0960975894871369","som-0.095683025284628","nhiet-0.0947471515521179","ngay-0.0947155720623053","banh-0.0942955294047081","ban-0.0937420186710277","nuoc-0.0930740537198294","ké-0.092819320602954","nguòi-0.092819320602954","tỏ-0.092819320602954","dhqg-0.092609195336629","trong-0.0916805895070608","freeflow-0.0899118401326496","package-0.0899118401326496","most-0.0896517154153045","chuc-0.0894655616314026","cả-0.089202150997478","chủ-0.089202150997478","chúc-0.089202150997478"
"132782073751593","outcast-1.1380227715317","music-1.06376145166786","saigon-0.969980570976998","november-0.870085757466676","energet-0.841901775787537","gwennili-0.841901775787537","christma-0.830046150296218","and-0.820062792182921","sing-0.76456172818234","surpris-0.750992684878446","regga-0.734303958547814","afternoon-0.697814275721977","will-0.571873538469373","holloman-0.542829252927352","fun-0.539908312615958","come-0.524370362792682","for-0.490083469444603","food-0.48416302384743","the-0.436970196136455","art-0.422542417567696","everyon-0.416927584815902","craft-0.393264926643268","corazon-0.385871647235954","latino-0.385871647235954","soon-0.385499524376419","tune-0.385499524376419","check-0.377860439723645","info-0.377860439723645","all-0.376725695319735","with-0.368187185605082","dub-0.367151979273907","authent-0.361498209705906","cuban-0.361498209705906","lawrenc-0.353613843082004","night-0.351377117858704","spin-0.351050284569897","back-0.348139946464957","latin-0.344204980569288","mojito-0.330791309948981","stay-0.326033450604675","friday-0.319190826825235","hour-0.318742087644772","more-0.317784519094835","launch-0.310565192150221","rocker-0.308697317788764","festiv-0.30297581175585","saturday-0.292498873231271","here-0.289806967461359","peopl-0.284546491096689","this-0.277430877277981","band-0.268898525483554","fire-0.267656633920893","live-0.264480753140696","share-0.261462815665848","celebr-0.260871647235954","stall-0.25724776482397","station-0.255865234431392","everi-0.253791438842525","enjoy-0.251700728637031","week-0.244525087953506","billi-0.241589205225989","bizarr-0.236067605342825","dates-0.236067605342825","pessimist-0.236067605342825","delici-0.23516145118473","you-0.233763406437975","jameson-0.23135885421178","optimist-0.221156483800451","them-0.217273158257865","cider-0.21229488690337","comedy-0.210576874699422","dancehal-0.205798211859176","parti-0.204306980376868","dark-0.202370692346105","from-0.201931448805698","handmad-0.201692209268414","advanc-0.200319994367078","his-0.197669671342442","reunion-0.192799045176483","thing-0.189996807847627","has-0.187688749836294","follow-0.186437647531303","events-0.183575989636953","httpsticketboxvneventlawrenceandholoman-0.183230705958266","lawr-0.183230705958266","outcom-0.183230705958266","poi-0.177935020814964","other-0.177213594437029","root-0.17642203197279","your-0.175730042067026","perform-0.175432090439835","our-0.171298850589926","how-0.170538841425593","much-0.170175022513646","jam-0.165218390673258","ticket-0.159960510338488","get-0.159057496443664","set-0.157547422113042","district-0.156877689399509","have-0.156356891492541"
"133858413643559","graduat-0.945465937629412","honour-0.684061302244194","and-0.655443196090723","for-0.552913627221163","achiev-0.511730468862783","rmit-0.496904307440353","the-0.479092740199971","art-0.467157092364829","regga-0.458939974092384","celebr-0.417394635577527","dure-0.386765861001707","soon-0.385499524376419","tune-0.385499524376419","check-0.377860439723645","info-0.377860439723645","barcamp-0.376054642594976","everyon-0.370886501830097","vietnam-0.357119505802248","event-0.342674031582176","stay-0.326033450604675","festiv-0.323324933440944","hour-0.318742087644772","back-0.315330946274542","their-0.312427468269965","live-0.298535901469215","come-0.296616364388875","volunt-0.294100238404805","✔-0.285327830321589","food-0.285090917595441","saigon-0.281108708483401","time-0.280716927363881","music-0.262524138179203","share-0.261462815665848","all-0.259634415396037","more-0.232470757656002","und-0.220073341204566","startup-0.218832013376178","mike-0.203342742959572","join-0.198982656155047","berlin-0.194662722082115","was-0.184919002647992","afdefeo-0.173913890401066","volontair-0.173913890401066","nghe-0.166863339863131","tieng-0.163844326076498","band-0.16157832520704","acquir-0.160326867713483","npo-0.156964737858693","★-0.15609559396032","space-0.153310149642953","condit-0.147050119202403","exhibit-0.143501783485935","sustain-0.14001558531632","creat-0.13941019757232","pot-0.138222679606909","fair-0.137736503656771","will-0.134730431238302","confer-0.134559176928399","discov-0.134559176928399","photo-0.134559176928399","hous-0.133460487706151","product-0.131526061521625","melt-0.129491896014056","httpgooglformsjrifmozzb-0.129339321852894","vingalleri-0.12251844219299","intern-0.122229281217239","set-0.122094730110566","interview-0.120245150785112","stylus-0.120245150785112","googl-0.116461947056333","franc-0.115279456186875","french-0.115279456186875","made-0.112769544475367","fur-0.110036670602283","hochschul-0.110036670602283","you-0.108616195537716","barcampsaigon-0.107444183598564","hoc-0.106877172774816","garden-0.106117280231575","ingrosso-0.103995806084421","truong-0.10289570416357","local-0.101593752797214","thuat-0.101335545197521","program-0.0994678323878669","duc-0.0989043462139074","invit-0.0983303036445018","anh-0.0968248669735139","good-0.0952044634557319","develop-0.0942454206020646","our-0.0942252012959107","project-0.0939530003159269","axwell-0.0938606709492862","dance-0.0926062718760152","how-0.0924332985017848","ticket-0.0919387102704737","comput-0.0910408527459747","market-0.0909797091533752","place-0.088415684988211","lao-0.0843308019457738","ngo-0.0831079242210987"
"135085436853805","and-0.238418898970262","the-0.217581391020081","mike-0.203342742959572","prisma-0.18852083132714","run-0.17522196936855","beaujolai-0.172452429137192","melbourn-0.16312996107073","dap-0.160453036832494","acquir-0.160326867713483","celebr-0.157838307571334","everyday-0.155645706448116","nouveau-0.155645706448116","was-0.155201950119501","startup-0.151255420584499","tradit-0.140180163416516","from-0.122649468998391","interview-0.120245150785112","stylus-0.120245150785112","district-0.118646991982822","hoc-0.116802000916051","googl-0.116461947056333","everi-0.102369656003707","for-0.0943318980032468","project-0.0939530003159269","australia-0.0931710673291179","place-0.0876726960387303","point-0.0875514616420249","time-0.0869341822895251","“beaujolais”-0.0862262145685958","canapes-0.0862262145685958","ccifv-0.0862262145685958","descomb-0.0862262145685958","desk-0.0862262145685958","france-0.0862262145685958","glad-0.0862262145685958","grape-0.0862262145685958","harvest-0.0862262145685958","novotel-0.0862262145685958","ontop-0.0862262145685958","strengthen-0.0862262145685958","terroir-0.0862262145685958","novemb-0.0824095383032743","award-0.0813163059231509","balloonpow-0.0801634338567414","cassidi-0.0801634338567414","editor’-0.0801634338567414","firesid-0.0801634338567414","googlex-0.0801634338567414","loon-0.0801634338567414","magazine’-0.0801634338567414","ruba-0.0801634338567414","telephoni-0.0801634338567414","xfire-0.0801634338567414","take-0.0790979946552146","monday-0.0781997235516949","freeflow-0.077822853224058","onsite-0.077822853224058","typic-0.077822853224058","ufe-0.077822853224058","vin-0.077822853224058","landmark-0.0729072019574937","presal-0.0729072019574937","nhieu-0.0715709345832231","friendship-0.0694194918795202","offic-0.0694194918795202","chon-0.0685740981851191","with-0.0680201879931919","comput-0.0677809143198574","vice-0.0677809143198574","danh-0.0677538897060678","product-0.0672346591125691","dai-0.0672209482631589","tieng-0.0657361491533115","prior-0.0645384338567414","entr-0.0645038406129559","forward-0.0645038406129559","wwwidpcomvietnam-0.0634309557100199","his-0.0633156859984609","xep-0.0632474430669614","thanh-0.0631260910595279","phu-0.0631143645930836","red-0.062634996736179","third-0.062634996736179","chay-0.0621700469502086","thursday-0.0610161305349824","until-0.0610161305349824","vnd-0.0605497151413632","pho-0.0604128081103876","dang-0.0603460734802442","presid-0.0599684143198574","mark-0.0595881893463915","annual-0.0583108524266852","choic-0.0582309735281664","gioi-0.0579036172153598","french-0.0571553606304673","hit-0.0567259338567414","jazz-0.0567259338567414","leader-0.0567259338567414","releas-0.0561004792684181","cac-0.0552884758941441"
"136742366687500","graduat-0.945465937629412","honour-0.684061302244194","achiev-0.511730468862783","rmit-0.496904307440353","celebr-0.417394635577527","dure-0.386765861001707","live-0.323241049406146","vietnam-0.293688046909391","✔-0.285327830321589","their-0.279655356213675","time-0.251271095822215","all-0.238294600431979","and-0.23059099467841","dap-0.228484525185095","the-0.222666306512506","for-0.220233860227933","prisma-0.18852083132714","run-0.17522196936855","tieng-0.15438735191621","band-0.144482789812059","pot-0.138222679606909","melt-0.129491896014056","httpgooglformsjrifmozzb-0.129339321852894","set-0.122094730110566","expo-0.108951994513681","anh-0.0968248669735139","dance-0.0926062718760152","phu-0.0917588070021617","cac-0.0915662787155506","noi-0.0907686714524611","ban-0.0826924762594047","izishar-0.077822853224058","gun-0.0765740263706187","hardcor-0.0765740263706187","performance-0.0765740263706187","khong-0.074665627709214","hoi-0.0729408006711481","nuoc-0.0692710658544986","records-0.0691113398034545","tham-0.0677053823438343","nhieu-0.0676868917556597","thuong-0.0674718799688269","gia-0.0667403157767071","hon-0.0666053438643422","tuan-0.0650617782911532","maraphoria-0.064745948007028","starchild-0.064745948007028","chariti-0.0647293977497718","chay-0.0621700469502086","bay-0.0619669487533498","quoc-0.0611682064982568","nam-0.0607995585238146","trung-0.0607662567258049","belarus-0.060528885840934","nhung-0.0589821593489588","trien-0.0577829715128783","drama-0.057430519777964","poetri-0.057430519777964","dang-0.056655711493687","cua-0.0561164460218482","vap-0.0551300824833766","thu-0.0547860273621041","active-0.0538630946648971","httpprismaruncom-0.0538630946648971","solo-0.0529178696434373","tai-0.052401083208476","viet-0.0523196927405586","nhu-0.0520154132829394","more-0.051209960307887","light-0.0508154693827189","khau-0.0501264844508208","harmoni-0.0486137508328761","young-0.0474181264033909","fun-0.0467637121163429","kien-0.0464792905184749","mau-0.0460184203158324","puls-0.045543081537752","cafe-0.0454028448616415","nang-0.0451475805770324","mai-0.0449770009313427","khac-0.0449049401835468","trong-0.044582655050501","night-0.0442679833522777","hai-0.0442490303227122","linh-0.0441017663397632","–-0.0439738795072883","lineup-0.0432946859330269","dayhttpwwwizienglishnettlhotrohtml-0.0431131072842979","httpizienglishnettintucbandochuscafehtml-0.0431131072842979","pnc-0.0431131072842979","than-0.042481803033882","cong-0.0422005273298469","nguoi-0.041592697040176","cho-0.0411013770984353","nhuan-0.0403486379413917","hang-0.0400237048651001","rap-0.0396884022325779","luyen-0.0395489973276073","hieu-0.0392817433020351","dien-0.0391588969641399"
"139493729744950","nguoc-0.474156165746783","❃-0.454022988215173","lop-0.393299502144978","star-0.37849044211503","hoi-0.358100810035883","wars-0.336760710315015","dem-0.335789473588155","craft-0.295458105509191","khu-0.291573542388429","nhieu-0.272928657042852","voi-0.267050332276885","christma-0.260871647235954","stall-0.25724776482397","cua-0.253298921230424","ban-0.244450216052002","handmad-0.232458817461901","cac-0.221351986746166","thuc-0.212750054682552","tai-0.211324102969033","tre-0.208188995118834","kien-0.203860414329111","gioi-0.20315652921893","hoa-0.20273659400562","hoc-0.200950533222027","cho-0.190448762470107","friendship-0.189906196176159","awakens-0.186562173339326","force-0.186562173339326","dau-0.183632799545947","dep-0.181796814341717","�����-0.181609195286069","choi-0.175786314397795","gia-0.175230909423047","hang-0.172106590616796","luc-0.17025130448218","khi-0.169614757155177","bangkok-0.168198971160499","tham-0.166833263370885","ngay-0.165194516160162","sinh-0.164065440004629","nhat-0.159537959231673","tuan-0.159454685124304","panason-0.154687229150697","sac-0.150775394927385","dac-0.150592283979284","countdown-0.149369669897789","httpgooglformszcwbwihpaf-0.146584564766613","thu-0.143329669020745","noi-0.143202714605725","giao-0.142881009452933","antiqu-0.142512771300874","busineess-0.142512771300874","curio-0.142512771300874","fuelled-0.142512771300874","httpgooglformstysjmrzp-0.142512771300874","inject-0.142512771300874","mull-0.142512771300874","participate-0.142512771300874","retro-0.142512771300874","secondhand-0.142512771300874","seller-0.142512771300874","stalls-0.142512771300874","swap-0.142512771300874","cung-0.141876784536788","moi-0.140440332746106","khach-0.139864128012741","nhe-0.139272526210271","tieng-0.138913171298333","nhap-0.138544632407278","mua-0.137452925902","shrm-0.136812260448839","trang-0.136750089347465","thao-0.13566283804493","den-0.135595108029989","truoc-0.135519643977994","tro-0.129298958765186","and-0.128151290182002","nhac-0.127415618021053","chu-0.125899895378467","local-0.12516755643054","vuc-0.124957418652834","tphcm-0.124296482371696","nhung-0.123729663994207","war-0.123663416636829","duoc-0.122726213512159","vao-0.122487010837788","van-0.122289084395806","addit-0.120499403235302","flea-0.120499403235302","furnitur-0.120499403235302","“vietnam-0.117941603835206","global”-0.117941603835206","ifd-0.117941603835206","nhap”-0.117941603835206","vien-0.117619721945718","fan-0.117337538392824","ngoai-0.116966850693933","trai-0.11685160988361","shop-0.116685441936187","chuong-0.116231772922445"
