"","V1"
"4418617980687","10.790258594234-10.803987196572-10.8171473-10.729411608643-10.727359179346"
"102448953461364","10.779934425415-10.775833333333-10.803321980356-10.8554313-10.7694-10.816938324444-10.72910564"
"107867549584992","10.836245967548-10.775833333333-10.803321980356-10.7878103-10.781373055482-10.7822027-10.72910564-10.773573760021-10.779973522098"
"110246866013327","10.8171473-10.803321980356-10.766129429041-10.726910700135"
"112036512495862","10.779934425415-10.730852785315-10.780833333333-10.8171473-10.7818051727-10.803321980356-10.7850428-10.759583317746"
"118907701812571","10.730744814924-10.779934425415-10.8171473-10.775833333333-10.8585741-10.803321980356-10.803321980356-10.7694-10.726910700135"
"121343378233417","10.729411608643-10.730744814924-10.8171473-10.803321980356-10.7694-10.75-10.773447283294"
"127899517575510","10.78392654-10.78722-10.75-10.7829504-10.790258594234-10.777698260699-10.779492333935-10.762200730909-10.729411608643-10.730852785315-10.730744814924-10.779934425415-10.775833333333-10.8585741-10.726910700135-10.803321980356-10.779492333935-10.741962426559-10.803321980356-10.7850428-10.79258767-10.7771196-10.778616976189-10.8050785-10.7730503-10.816874263333"
"128312900865596","10.768915165541-10.795590790197-10.730744814924-10.780833333333-10.7739725-10.7769528807"
"128541460842924","10.730744814924-10.8585741-10.779492333935-10.797913712459-10.8068469617-10.801555428539"
"129961370700382","10.775967031518-10.7726402-10.775967031518"
"130605037303083","10.764627840446-10.7154715-10.741962426559-10.75"
"132782073751593","10.7771196-10.8171473-10.8171473-10.766129429041-10.8171473-10.8171473-10.8171473-10.8171473"
"133857956976938","10.7777824-10.7899704-10.803321980356"
"133858413643559","10.7829504-10.766129429041-10.7899704-10.730744814924-10.779934425415-10.780833333333-10.8171473-10.775833333333-10.803321980356"
"135085436853805","10.7771196-10.7843752-10.784932328478-10.7899704-10.7829504-10.777698260699-10.730852785315-10.730744814924-10.8171473-10.7730503"
"135281453500490","10.7940111-10.730852785315-10.730744814924-10.813112038302-10.8171473"
"136742366687500","10.7899704-10.729509080508-10.730852785315-10.8171473-10.803321980356"
"139423613084922","10.779492333935-10.726910700135-10.741962426559-10.787859-10.779288450166-10.801555428539"
"139493729744950","10.8585741-10.741962426559-10.79258767-10.79258767-10.787859-10.765942902456-10.779973522098-10.8068469617-10.7546482-10.729451347451-10.801274156643-10.726910700135"
"140181889675611","10.7694-10.772056035797-10.7694-10.772056035797-10.772056035797"
"140561939637308","10.7771196-10.766129429041-10.780775419592-10.729411608643-10.730852785315-10.730744814924-10.813112038302-10.8171473-10.803321980356-10.803321980356-10.803321980356-10.7694-10.7850428-10.766129429041"
"140645352966158","10.730744814924-10.779934425415-10.813112038302-10.8171473-10.775833333333-10.7769519588-10.726910700135-10.7694-10.803321980356-10.779492333935-10.741962426559-10.7694-10.766129429041-10.79258767-10.8171473-10.76612200006-10.755595133788-10.7677002-10.7841666667-10.77207330075"
"140705159622899","10.730744814924-10.741962426559-10.803321980356-10.79258767-10.797913712459"
"141660342861041","10.776888888889-10.8585741-10.779492333935-10.741962426559-10.79258767-10.7768402-10.779973522098"
"141680539527313","10.777698260699-10.730852785315-10.730744814924-10.8171473-10.726910700135-10.7694-10.75-10.816874263333"
"142143569479407","10.766129429041-10.8585741-10.79258767"
"142265706132927","10.726910700135-10.803321980356-10.741962426559-10.79258767-10.773278596056"
"142515806113859","10.779934425415-10.803321980356-10.803321980356-10.803321980356-10.7694-10.779973522098-10.727359179346"
"142881026070824","10.766129429041-10.7694-10.730744814924-10.780833333333-10.813112038302-10.8171473-10.803321980356-10.803321980356-10.7694"
"143762049315634","10.766129429041-10.767313098301-10.767313098301-10.762200730909-10.767003764258-10.780833333333-10.813112038302-10.8171473-10.8585741-10.766129429041-10.7694-10.767313098301-10.767313098301-10.76612200006-10.767313098301-10.794493595506-10.77207330075-10.7704268-10.791412983219"
"144691249221157","10.852438693872-10.780833333333-10.813112038302-10.8585741-10.779492333935-10.803321980356-10.7694-10.7878103-10.8068469617-10.726910700135"
"146326905725298","10.779492333935-10.8585741-10.79258767-10.79258767-10.797913712459-10.787859"
"146514192374565","10.780833333333-10.7769519588-10.7694-10.772277371056-10.7730503-10.7704268-10.808119400078"
"148379555518355","10.777698260699-10.777698260699-10.777698260699-10.777698260699-10.777698260699-10.777698260699-10.777698260699-10.777698260699"
