"","V1"
"4418617980687","106.69894492325-106.73539745265-106.7296753-106.6950871708-106.72054156228"
"102448953461364","106.70304728673-106.7015-106.68441398812-106.6241884-106.682-106.72993509444-106.68816115"
"107867549584992","106.70881032944-106.7015-106.68441398812-106.6969528-106.70011027527-106.6972809-106.68816115-106.69719203186-106.70682529841"
"110246866013327","106.7296753-106.68441398812-106.70763201883-106.71979033289"
"112036512495862","106.70304728673-106.72197311559-106.75694444444-106.7296753-106.69685943794-106.68441398812-106.6506958-106.69849984932"
"118907701812571","106.72180771764-106.70304728673-106.7296753-106.7015-106.7607056-106.68441398812-106.68441398812-106.682-106.71979033289"
"121343378233417","106.6950871708-106.72180771764-106.7296753-106.68441398812-106.682-106.66667-106.69424160194"
"127899517575510","106.68439116-106.6867828-106.66667-106.7047577-106.69894492325-106.70481190705-106.6992957846-106.64913793909-106.6950871708-106.72197311559-106.72180771764-106.70304728673-106.7015-106.7607056-106.71979033289-106.68441398812-106.6992957846-106.69495011742-106.68441398812-106.6506958-106.690557775-106.6994095-106.69129653645-106.7365646-106.693573-106.72984182833"
"128312900865596","106.7014299221-106.65482121754-106.72180771764-106.75694444444-106.6529465-106.684396047"
"128541460842924","106.72180771764-106.7607056-106.6992957846-106.64089067849-106.63438665959-106.61765917017"
"129961370700382","106.6940911056-106.7049713-106.6940911056"
"130605037303083","106.79328430398-106.6313525-106.69495011742-106.66667"
"132782073751593","106.6994095-106.7296753-106.7296753-106.70763201883-106.7296753-106.7296753-106.7296753-106.7296753"
"133857956976938","106.6811295-106.7022018-106.68441398812"
"133858413643559","106.7047577-106.70763201883-106.7022018-106.72180771764-106.70304728673-106.75694444444-106.7296753-106.7015-106.68441398812"
"135085436853805","106.6994095-106.6961517-106.69902420618-106.7022018-106.7047577-106.70481190705-106.72197311559-106.72180771764-106.7296753-106.693573"
"135281453500490","106.6806717-106.72197311559-106.72180771764-106.84798991-106.7296753"
"136742366687500","106.7022018-106.69324462937-106.72197311559-106.7296753-106.68441398812"
"139423613084922","106.6992957846-106.71979033289-106.69495011742-106.696373-106.68307222528-106.61765917017"
"139493729744950","106.7607056-106.69495011742-106.690557775-106.690557775-106.696373-106.67423232269-106.70682529841-106.63438665959-106.6417389-106.70329029588-106.61784755225-106.71979033289"
"140181889675611","106.682-106.65770991516-106.682-106.65770991516-106.65770991516"
"140561939637308","106.6994095-106.70763201883-106.68613586022-106.6950871708-106.72197311559-106.72180771764-106.84798991-106.7296753-106.68441398812-106.68441398812-106.68441398812-106.682-106.6506958-106.70763201883"
"140645352966158","106.72180771764-106.70304728673-106.84798991-106.7296753-106.7015-106.68970151-106.71979033289-106.682-106.68441398812-106.6992957846-106.69495011742-106.682-106.70763201883-106.690557775-106.7296753-106.70758258023-106.69050920894-106.6963425-106.703611111-106.67391541154"
"140705159622899","106.72180771764-106.69495011742-106.68441398812-106.690557775-106.64089067849"
"141660342861041","106.70080555556-106.7607056-106.6992957846-106.69495011742-106.690557775-106.685997-106.70682529841"
"141680539527313","106.70481190705-106.72197311559-106.72180771764-106.7296753-106.71979033289-106.682-106.66667-106.72984182833"
"142143569479407","106.70763201883-106.7607056-106.690557775"
"142265706132927","106.71979033289-106.68441398812-106.69495011742-106.690557775-106.70602634292"
"142515806113859","106.70304728673-106.68441398812-106.68441398812-106.68441398812-106.682-106.70682529841-106.72054156228"
"142881026070824","106.70763201883-106.682-106.72180771764-106.75694444444-106.84798991-106.7296753-106.68441398812-106.68441398812-106.682"
