"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"4418617980687","and-0.464662240389696","live-0.298535901469215","the-0.297660241709743","for-0.237620080948877","you-0.225009034116971","virgin-0.218761878747943","who-0.204793915520545","swan-0.199241155993454","stand-0.187535230837218","show-0.161626346983242","fring-0.161589283994691","jokes-0.161589283994691","kieran-0.161589283994691","pee-0.161589283994691","diana-0.145841252498628","band-0.144482789812059","pot-0.138222679606909","run-0.135454200668383","melt-0.129491896014056","xii-0.127729288800783","most-0.126006544894739","comedi-0.125023487224812","best-0.124823896274897","make-0.124462296012636","set-0.122094730110566","again-0.122006576784525","christma-0.121571253080833","decibel-0.120881213117193","has-0.119807974703852","she-0.114345189506502","will-0.110002378820686","tom-0.109275455728749","your-0.107448669573522","our-0.104657167946999","then-0.100063447843376","gael-0.0996205779967272","margharita-0.0996205779967272","nonmemb-0.0996205779967272","once-0.0996205779967272","pet-0.0996205779967272","sangria-0.0996205779967272","parti-0.0984703183833075","vietnam-0.0977352952635245","dance-0.0926062718760152","end-0.0909158867396972","pay-0.0909158867396972","hat-0.0902736369515503","freeflow-0.0899118401326496","package-0.0899118401326496","conquer-0.0892253872492427","year-0.0890969745959497","registr-0.0882696414799244","turkey-0.0842325925528325","are-0.0811033283021469","bailey-0.0807946419973457","bamford-0.0807946419973457","brook-0.0807946419973457","comedians-0.0807946419973457","crowe-0.0807946419973457","dianaabaileygmailcom-0.0807946419973457","fest-0.0807946419973457","firstev-0.0807946419973457","gethard-0.0807946419973457","gregorio-0.0807946419973457","headliners-0.0807946419973457","hilland-0.0807946419973457","houston-0.0807946419973457","jokesa-0.0807946419973457","joseph-0.0807946419973457","laity-0.0807946419973457","nxne-0.0807946419973457","pacquiao-0.0807946419973457","pretti-0.0807946419973457","sanders-0.0807946419973457","sara-0.0807946419973457","schaefer-0.0807946419973457","wants-0.0807946419973457","wemyss-0.0807946419973457","wheelan-0.0807946419973457","affair-0.0802031022685719","sport-0.0789650119654504","just-0.0783546033826875","paid-0.0770775867842286","play-0.0770577712822585","tournament-0.0768541040138001","gun-0.0765740263706187","hardcor-0.0765740263706187","performance-0.0765740263706187","hcmc-0.0756018175986152","bridg-0.0754431046342761","mean-0.0745238546887548","true-0.0745238546887548","armstrong-0.0729206262493142","cri-0.0729206262493142","firsttim-0.0729206262493142","ian-0.0729206262493142","laugh-0.0729206262493142","maria-0.0729206262493142","mcnulty-0.0729206262493142","naja-0.0729206262493142"
"102448953461364","izi-0.418839305038567","yoga-0.331241294562935","craft-0.316625253366566","httpessenceyeuthuongchinhminhcom-0.301791750990085","httpswwwfacebookcomcongdongessencevietnam-0.301791750990085","httpswwwfacebookcomessenceyeuthuongchinhminhfrefts-0.301791750990085","vietnamessencegmailcom-0.301791750990085","wwwessencevietnamcom-0.301791750990085","handmad-0.266715369271365","christma-0.260871647235954","and-0.257691614624181","stall-0.25724776482397","hoc-0.250934146477637","und-0.220073341204566","art-0.212153594787817","websit-0.195847627555424","berlin-0.194662722082115","★★★-0.170915576558543","you-0.16560287443672","thac-0.154839466084282","market-0.151452333293019","ielts-0.150225921386129","som-0.14633874455296","antiqu-0.142512771300874","busineess-0.142512771300874","curio-0.142512771300874","fuelled-0.142512771300874","httpgooglformstysjmrzp-0.142512771300874","inject-0.142512771300874","mull-0.142512771300874","participate-0.142512771300874","retro-0.142512771300874","secondhand-0.142512771300874","seller-0.142512771300874","stalls-0.142512771300874","swap-0.142512771300874","facebook-0.141220232794871","dai-0.137942877154595","truoc-0.13769835931999","trang-0.135950477768448","siddhi-0.133258695242375","mac-0.129632820603817","gon-0.128772837773561","local-0.12516755643054","sai-0.124663285901013","will-0.124386050994542","sell-0.122520491301857","vingalleri-0.12251844219299","truong-0.121402427637343","addit-0.120499403235302","flea-0.120499403235302","furnitur-0.120499403235302","pop-0.114734993523096","ther-0.114734993523096","vintag-0.114734993523096","vui-0.112449658183381","anh-0.110625192841003","fur-0.110036670602283","hochschul-0.110036670602283","keep-0.107217652478778","cloth-0.106610514346413","done-0.106610514346413","urban-0.106610514346413","small-0.10352173071674","xin-0.103513310213581","toan-0.101825094486982","email-0.100824397632299","postur-0.0999440214317815","cac-0.0992512654576686","gift-0.0978940954152331","class-0.0964121986814211","collect-0.0963748810941048","chung-0.0949980238159471","long-0.0924654460169217","hon-0.0919701424220885","voi-0.0915076429186862","the-0.0904032107370242","asana-0.0902037616915218","yogi-0.0902037616915218","focus-0.0896328418278514","uniqu-0.0896328418278514","cho-0.0890990973492695","select-0.088250401917422","moi-0.0881849209977084","wine-0.0857424540612856","hoi-0.0853850333102055","duc-0.0849197665559137","phi-0.084820113261709","along-0.0845971462808416","indian-0.0845060749961859","thu-0.083500351302616","vien-0.08314499481714","wirtschaft-0.0825275029517124","wwwdaadvnorgfair-0.0825275029517124","dong-0.080879091954765","san-0.0804114260073839","design-0.0796855219111929","over-0.0788327365686354","communiti-0.0780147686651136","noi-0.0748404151724038"
"107867549584992","parti-0.441522467660076","year-0.34506944702145","for-0.332999973459395","yoga-0.331241294562935","✔-0.320140556030682","hoc-0.318414012167003","and-0.315236735545993","new-0.296025834457009","outside-0.285025542601747","unforgetable-0.285025542601747","bands-0.25724776482397","countdown-0.25724776482397","dancing-0.25724776482397","count-0.229469987046192","ban-0.221192592642159","und-0.220073341204566","drop-0.207043461433481","biggest-0.196972070339461","cafe-0.195484470932068","berlin-0.194662722082115","hard-0.19274976218821","djs-0.188930219861822","guitar-0.188930219861822","info-0.188930219861822","stage-0.188930219861822","earli-0.181543683944411","travel-0.178883415247512","big-0.176500803834844","rock-0.173914431490636","fun-0.169685469679301","hear-0.154549470461914","book-0.151498129816061","you-0.147028710770104","discretion-0.146584564766613","dissapoint-0.146584564766613","nhung-0.143913464477639","down-0.14031850466761","pleas-0.139102917453833","tieng-0.139006778556621","anh-0.135328322846022","dai-0.134130075379576","all-0.134105186390291","siddhi-0.133258695242375","the-0.132947331739035","avoid-0.132298850480899","fabul-0.132298850480899","generous-0.132298850480899","whos-0.132298850480899","httpgooglformsjrifmozzb-0.129339321852894","truong-0.126990201117972","nganh-0.124750629367993","massiv-0.123942243327739","duc-0.120470601068124","wednesday-0.119246866042657","our-0.117462068975949","night-0.117125705952901","arts-0.113414163411079","nlp-0.111388910493024","aim-0.110985560788903","khong-0.110505381569135","fur-0.110036670602283","hochschul-0.110036670602283","rsvp-0.109656529042025","sing-0.109656529042025","time-0.107687612495235","cua-0.107111535835388","will-0.105932352294717","johnson-0.10434833424064","jwu-0.10434833424064","academi-0.104345735921437","anyon-0.10372742190947","des-0.10372742190947","finger-0.10372742190947","relax-0.101299921888866","postur-0.0999440214317815","thoi-0.0982481386905783","class-0.0964121986814211","dec-0.0953708147563107","everyon-0.0953708147563107","with-0.0937790458076455","cours-0.0937211402217402","your-0.0925362589008938","tai-0.0921625538869442","duoc-0.0909828481345197","asana-0.0902037616915218","yogi-0.0902037616915218","provid-0.0899861019012356","space-0.0881922384630366","are-0.0877234203901214","thu-0.0875907595247147","about-0.0862835340651373","last-0.0858998860031331","network-0.0858998860031331","talk-0.0858998860031331","dang-0.0855205765952294","hotel-0.0848689147207916","indian-0.0845060749961859","this-0.0838828378609542","own-0.0838371730126306","mien-0.0836581825280019"
"110246866013327","regga-0.458939974092384","soon-0.385499524376419","tune-0.385499524376419","check-0.377860439723645","info-0.377860439723645","everyon-0.370886501830097","art-0.333018266242126","stay-0.326033450604675","festiv-0.323324933440944","hour-0.318742087644772","back-0.315330946274542","live-0.298535901469215","✔-0.285327830321589","food-0.285090917595441","music-0.262524138179203","share-0.261462815665848","more-0.232470757656002","come-0.227277474012255","saigon-0.213974947265355","for-0.190913107847861","countdown-0.149369669897789","band-0.144482789812059","tieng-0.139006778556621","pot-0.138222679606909","melt-0.129491896014056","httpgooglformsjrifmozzb-0.129339321852894","set-0.122094730110566","anh-0.110590887487072","unilev-0.110332468103902","wonderland-0.0932898605692661","dance-0.0926062718760152","izishar-0.077822853224058","gun-0.0765740263706187","hardcor-0.0765740263706187","performance-0.0765740263706187","khan-0.0694632777947747","records-0.0691113398034545","journey-0.065494564862587","tuan-0.0650617782911532","den-0.0649435973080361","maraphoria-0.064745948007028","starchild-0.064745948007028","chariti-0.0647293977497718","cac-0.0585328354553658","drama-0.057430519777964","poetri-0.057430519777964","gia-0.0573098588499322","ban-0.0568604049225866","bitlycountdown-0.0551662340519511","vbiz-0.0551662340519511","wwwyanvn-0.0551662340519511","yan-0.0551662340519511","vap-0.0551300824833766","solo-0.0529178696434373","parti-0.05272438203274","moi-0.0526689304583211","noi-0.0519642148443666","cung-0.0491402307719285","voi-0.048905990198818","hang-0.0488408861099687","young-0.0474181264033909","cafe-0.0454028448616415","hon-0.0453559178057451","tai-0.0453557762811606","khong-0.0453283975893043","don-0.044922356495105","lineup-0.0432946859330269","dayhttpwwwizienglishnettlhotrohtml-0.0431131072842979","httpizienglishnettintucbandochuscafehtml-0.0431131072842979","pnc-0.0431131072842979","diem-0.0425647524538328","dang-0.0425362776345273","–-0.0416361199057655","khu-0.0412328470856001","thuat-0.041184386870585","nhuan-0.0403486379413917","edm-0.0400729280193833","rap-0.0396884022325779","luyen-0.0395489973276073","chus-0.038911426612029","easier-0.038911426612029","funnier-0.038911426612029","cua-0.0387343998178075","dem-0.0385859590504453","nua-0.0384365369244825","doc-0.0384346129728999","vuc-0.0384346129728999","children’-0.0382870131853093","cliqu-0.0382870131853093","datmaniac-0.0382870131853093","emili-0.0382870131853093","happizoo-0.0382870131853093","jas-0.0382870131853093","knif-0.0382870131853093","navarra-0.0382870131853093","reading-0.0382870131853093","saigonlag-0.0382870131853093","skarlet-0.0382870131853093","slolo-0.0382870131853093","stick-0.0382870131853093"
"112036512495862","live-0.323241049406146","dap-0.301860974102393","trai-0.292450443525651","✔-0.285327830321589","tham-0.232581634157761","tab-0.223063468123107","cac-0.218921743610638","pmbok-0.212958988903009","san-0.20650070058122","ngua-0.19825689825073","prisma-0.18852083132714","khac-0.179346947842404","nhau-0.17523817897531","run-0.17522196936855","thanh-0.16729170081303","ban-0.164007055604541","galaxi-0.162034013295767","tieng-0.15438735191621","galaxytaba-0.148708978748738","inch-0.148708978748738","spen-0.148708978748738","band-0.144482789812059","pot-0.138222679606909","anh-0.133933270097018","trung-0.132776270434817","linh-0.132557645574733","and-0.132488972539085","melt-0.129491896014056","the-0.129348836496271","httpgooglformsjrifmozzb-0.129339321852894","set-0.122094730110566","cong-0.121233599248588","vao-0.120994054924191","quan-0.120838349492638","ngan-0.120727009169998","qua-0.116118320960957","quyet-0.115756176229542","hieu-0.115737658528942","ung-0.11560184266205","van-0.115386894145225","dung-0.112929231185993","chuan-0.110043674215006","quoc-0.107933898174085","cua-0.107152072818278","languag-0.105875269419886","vuc-0.102126257327991","tieu-0.10094283083142","tap-0.100723092917655","tiem-0.100065405717528","comment-0.0985722886235595","hinh-0.0968096649563782","cafe-0.0949710883344427","dance-0.0926062718760152","tuan-0.0909633652946292","hoc-0.0877732683354445","yeu-0.085546656941943","bida-0.0849625645290175","hungthinhcarpetgmailcom-0.0849625645290175","showroom-0.0849625645290175","simili-0.0849625645290175","wwwhungthinhcarpetcom-0.0849625645290175","lac-0.0831742950293524","flag-0.0821274976425056","for-0.0807075213158636","moi-0.0807067344878362","lam-0.0802627315174625","bar-0.0799608603580745","nha-0.0796000290778784","nail-0.0795959360820344","phong-0.0791894103079501","hcm-0.0781097713221225","izishar-0.077822853224058","nuoc-0.0777531840506407","gun-0.0765740263706187","hardcor-0.0765740263706187","performance-0.0765740263706187","dac-0.075774912928483","cao-0.0751249010957778","hung-0.0736328811049416","dinh-0.0733552164618166","trong-0.0717362215115197","ngu-0.071692415760222","bay-0.0708479512055665","gia-0.0704178065113921","choi-0.0703943037231602","ngon-0.069675395421158","luu-0.0694653545866263","noi-0.0692131452947979","records-0.0691113398034545","tuong-0.0689230242705579","chiec-0.0687313683713142","add-0.0683813267119752","qtan-0.0683813267119752","thu-0.0680502808548387","phu-0.0672729256549823","hashtag-0.0671081125627747","tpho-0.0666139406758065","hon-0.0666053438643422","nang-0.0662616749667943","chuc-0.0647868027142163"
"118907701812571","ảm-0.540048396508574","quóc-0.540048396508574","thỏ-0.540048396508574","vùng-0.540048396508574","lãnh-0.487416817561206","lón-0.45662931752325","lẽ-0.434785238613837","vie�t-0.434785238613837","✔-0.428896590610253","nhát-0.417841654672397","thu�c-0.403997738575882","su�-0.392292874295016","của-0.365210075725029","ho�i-0.351366159628513","vói-0.334422575687073","izi-0.302649663939828","httpessenceyeuthuongchinhminhcom-0.301791750990085","httpswwwfacebookcomcongdongessencevietnam-0.301791750990085","httpswwwfacebookcomessenceyeuthuongchinhminhfrefts-0.301791750990085","vietnamessencegmailcom-0.301791750990085","wwwessencevietnamcom-0.301791750990085","live-0.298535901469215","anh-0.290104691242877","tieng-0.288609681060064","gia-0.246416492637703","hoc-0.244660791673479","und-0.220073341204566","websit-0.205079008561966","berlin-0.194662722082115","hon-0.187391555144789","nam-0.176224006014712","art-0.155098017704375","gon-0.1523119586569","dai-0.150771973162989","countdown-0.149369669897789","trang-0.148846879502663","tuan-0.148187801697657","tham-0.147581342626516","sai-0.147451198377542","som-0.14633874455296","noi-0.146128653604333","band-0.144482789812059","phi-0.142668252275328","hang-0.142344170473831","facebook-0.141220232794871","pot-0.138222679606909","thac-0.131205631228398","izienglish-0.130766949819561","melt-0.129491896014056","httpgooglformsjrifmozzb-0.129339321852894","moi-0.12809406213196","mac-0.126155458603839","cho-0.125235769004437","vingalleri-0.12251844219299","set-0.122094730110566","izitalk-0.11931301783329","and-0.11903286258","dang-0.111781380760502","unilev-0.110332468103902","fur-0.110036670602283","hochschul-0.110036670602283","cac-0.109428159987275","voi-0.109351236908599","expo-0.108951994513681","cafe-0.108227711588796","truoc-0.104167337518823","xin-0.103513310213581","email-0.100824397632299","tip-0.0960572038798012","thu-0.0951894727123764","nuoc-0.094509700015935","wonderland-0.0932898605692661","truong-0.0928550604295677","chus-0.0927539820403017","easier-0.0927539820403017","funnier-0.0927539820403017","dance-0.0926062718760152","market-0.0909797091533752","thuyet-0.090234709751382","vui-0.0874859849045751","toan-0.0867069581876044","ban-0.0854709257927253","duc-0.0849197665559137","chung-0.0837974908076801","pham-0.0834860476275039","wwwizienglishnet-0.0827383478796607","wirtschaft-0.0825275029517124","wwwdaadvnorgfair-0.0825275029517124","lien-0.0821734268578602","cua-0.0816299951715978","izishar-0.077822853224058","vietnam-0.0770418950267477","gun-0.0765740263706187","hardcor-0.0765740263706187","performance-0.0765740263706187","hoi-0.0764396424981152","tai-0.0760587365384969","long-0.0749021769410818","nang-0.0747767878345054","nghe-0.0699510978456563"
"121343378233417","phim-0.407757170778976","barcamp-0.376054642594976","httpessenceyeuthuongchinhminhcom-0.301791750990085","httpswwwfacebookcomcongdongessencevietnam-0.301791750990085","httpswwwfacebookcomessenceyeuthuongchinhminhfrefts-0.301791750990085","vietnamessencegmailcom-0.301791750990085","wwwessencevietnamcom-0.301791750990085","live-0.298535901469215","✔-0.285327830321589","hoc-0.23494141002441","websit-0.176102696416254","chieu-0.175907470424159","anh-0.172133096841803","trang-0.168433345807351","som-0.158400604710053","★-0.15609559396032","noi-0.151634028407471","truoc-0.146170265625089","band-0.144482789812059","facebook-0.141220232794871","tieng-0.139006778556621","pot-0.138222679606909","dang-0.134013602943555","rap-0.133608859612983","thac-0.131205631228398","melt-0.129491896014056","httpgooglformsjrifmozzb-0.129339321852894","gon-0.128772837773561","mac-0.126155458603839","phi-0.125704767459205","sai-0.124663285901013","set-0.122094730110566","xin-0.121939763340606","lien-0.121447868658599","moi-0.119249392991974","cac-0.112828379903037","expo-0.108951994513681","barcampsaigon-0.107444183598564","saigon-0.103017758585528","the-0.102326365685676","tuan-0.101731314636977","nam-0.10158091772905","email-0.100824397632299","trong-0.0947859078764032","dance-0.0926062718760152","cho-0.0918292277195108","tai-0.0902296797514737","cong-0.0882017824178956","vui-0.0874859849045751","toan-0.0867069581876044","ban-0.0866847054660039","thu-0.0866663113674033","dai-0.0849927610556084","and-0.0827370445794872","dap-0.082140493430955","event-0.0806602847649257","vien-0.0794317790098899","izishar-0.077822853224058","vietnam-0.0770418950267477","gun-0.0765740263706187","hardcor-0.0765740263706187","performance-0.0765740263706187","toi-0.0757097616719196","long-0.0749021769410818","chung-0.0748279459210055","bay-0.0747848499250426","khong-0.0723019991931537","wild-0.0711885025865041","gia-0.0709611978269142","nhu-0.0695481134048125","records-0.0691113398034545","thanh-0.0685144622378482","hang-0.0677189966825914","startup-0.0675765927916785","new-0.0665741107953055","trung-0.0648975994023176","maraphoria-0.064745948007028","starchild-0.064745948007028","chariti-0.0647293977497718","nhung-0.0633509328708619","cua-0.0619287494537468","viet-0.0615844514881316","khoa-0.0607347688090752","belarus-0.060528885840934","voi-0.060445246709781","nguoi-0.0598828046353942","communiti-0.0588174172134888","present-0.0588174172134888","quoc-0.0582920735950584","nhin-0.0581998535154619","mai-0.0574887848267889","drama-0.057430519777964","poetri-0.057430519777964","hoi-0.0572526072427172","thoi-0.0571335800169751","khan-0.0570426916990203","ngay-0.0566475162488466","quan-0.056368205586772","luci-0.0561267850525025","mau-0.0553206358727203"
"127899517575510","caus-1.18013136195184","xmas-1.13414163411079","for-0.975685193412243","latino-0.841901775787537","good-0.802437620555454","shop-0.778503643497033","and-0.678938997300873","time-0.617884248249102","ali-0.603583501980171","the-0.554379643948874","ảm-0.540048396508574","quóc-0.540048396508574","thỏ-0.540048396508574","vùng-0.540048396508574","cuban-0.525815577754045","lãnh-0.487416817561206","lón-0.45662931752325","❃-0.454022988215173","lẽ-0.434785238613837","vie�t-0.434785238613837","✔-0.428896590610253","hung-0.41877942984337","nhát-0.417841654672397","thu�c-0.403997738575882","su�-0.392292874295016","anh-0.390442049317634","barcamp-0.376054642594976","our-0.375460318638255","của-0.365210075725029","test-0.365091400239002","vói-0.364394410300537","tham-0.359985359327808","tieng-0.359686573100588","ho�i-0.351366159628513","hoi-0.328683017453929","phim-0.314942878709082","izi-0.302649663939828","ban-0.301639799827115","nam-0.298818592398832","san-0.290548073246973","gia-0.289540928203751","trai-0.287583498655426","cong-0.283756349444103","corazon-0.280633925262512","habana-0.280633925262512","hoc-0.276964431585738","chieu-0.276841183634606","cac-0.274813668475351","music-0.273635145573289","authent-0.262907788877023","cuba-0.262907788877023","hon-0.25580479450696","all-0.249267437141716","amaz-0.246578885028397","quoc-0.243924862282648","your-0.242427010078129","khach-0.242422056917559","autom-0.240490301570224","→-0.239336745736324","duc-0.238608507751333","dac-0.234659495083643","readi-0.232903589757993","chef-0.232604758573992","nhac-0.229368621441605","dap-0.228484525185095","moi-0.223780326385372","will-0.221295498540368","und-0.220073341204566","virgin-0.218761878747943","hang-0.213740359624251","nhung-0.213000556093335","night-0.21278931840759","abstract-0.21229488690337","acid-0.21229488690337","come-0.21228760274328","voi-0.210606306398492","bao-0.210469174489057","direct-0.210272467841683","berlin-0.209852930311535","mat-0.205753725329492","cultur-0.202301728270962","you-0.201522095257369","startup-0.199821769259001","★-0.199430271934769","kop-0.196068526120947","seighart-0.196068526120947","cocktail-0.195562563988039","dien-0.195553143551773","buoi-0.192781533791301","classic-0.192546331456194","prepar-0.192546331456194","friendship-0.189906196176159","celebr-0.189724834353421","from-0.189425712713417","start-0.188189719779273","stand-0.187535230837218","biet-0.183416835644562","cung-0.183355205765268","�����-0.181609195286069","cua-0.181128823208373"
"128312900865596","danc-5.30672322327603","may-0.448520505088615","quoc-0.261382505301354","han-0.25152387663431","–-0.195217839159145","prisma-0.18852083132714","phu-0.188219804778256","run-0.17522196936855","coffe-0.146174715353016","expo-0.144847031465863","ubnd-0.141388084483403","pham-0.141182246905295","doanh-0.127640103648727","san-0.125154429023876","fun-0.122419654011573","freeland-0.117973497244113","nghiep-0.11131547162024","trien-0.104392597132578","sale-0.101402354584892","and-0.101150760062408","que-0.100055265296206","cac-0.0930599464508476","nhua-0.0923138539392505","viet-0.091527483685484","nuoc-0.0914984677377851","dao-0.0894657299404057","hoi-0.0846149883595584","str-0.0832936240384948","hon-0.0830511919236772","thiet-0.0828350625658107","che-0.0826673370083653","binh-0.0812976070201942","cong-0.0810409239478936","sunday-0.0809430437968712","chay-0.0805318980262004","anlevntpavn-0.0783276300279611","suat-0.0765986244613926","moc-0.0728013899263129","meeting-0.0706940422417016","phuquoc-0.0706940422417016","lanh-0.0706585703204266","nam-0.0689804727989486","artist-0.0688272425291125","vietnam-0.0674262783179152","tru-0.0664525530484643","giua-0.0655988995530014","“chitchat”-0.0653561753736491","creator-0.0653561753736491","guarantee-0.0653561753736491","hhh-0.0653561753736491","niceuniquecrazycool-0.0653561753736491","queo-0.0653561753736491","shopping-0.0653561753736491","stuffs-0.0653561753736491","wellmad-0.0653561753736491","nguyen-0.0652174027851183","dau-0.0646592941518827","nha-0.0641163302530358","cao-0.0634776296080603","dist-0.0624099736539987","nganh-0.0613375841345134","dien-0.0608739997160761","tiep-0.0606002218980389","belarus-0.060528885840934","with-0.0596659560800654","dong-0.0594547896096988","pnguyen-0.0589867486220567","ban-0.0587313186056847","mai-0.0583132046958687","lam-0.058076891262758","onli-0.0577452111987224","bien-0.05746249119357","kien-0.057160279433093","tinh-0.0553151789935541","active-0.0538630946648971","httpprismaruncom-0.0538630946648971","khoan-0.053716570717263","chu-0.0532264665247949","vui-0.0530235169607505","giang-0.0529237201116458","thai-0.0528967525717801","agenda-0.0526173218704644","entrance-0.0526173218704644","trong-0.0520339317295554","dui-0.0519197550765314","quang-0.0512585547640233","light-0.0508154693827189","tan-0.050210104195883","dap-0.0501284651019165","afternoon-0.0488914460696927","stuff-0.0488914460696927","too-0.0488914460696927","vat-0.0487770970140132","harmoni-0.0486137508328761","trung-0.0480523411098864","lieu-0.0475697038630302","money-0.0474749338318809","morn-0.0474749338318809","truyen-0.0468564987629606","khi-0.0464483214924152"
"128541460842924","ảm-0.540048396508574","quóc-0.540048396508574","thỏ-0.540048396508574","vùng-0.540048396508574","lẽ-0.527604559216791","ho�i-0.501387665986755","thu�c-0.490244446811183","lãnh-0.487416817561206","su�-0.476040791279345","lón-0.45662931752325","vie�t-0.434785238613837","nhát-0.417841654672397","của-0.365210075725029","vói-0.364394410300537","nam-0.221168276937992","và-0.191324394368823","hon-0.190365000347916","hie�n-0.185638641205908","sách-0.185638641205908","gia-0.181510930390699","celadon-0.180809154778201","nói-0.178404301994956","bangkok-0.168198971160499","aeon-0.163188009403752","có-0.159348191735294","mua-0.144084127078913","lan-0.143236818050058","tan-0.143132845487778","mall-0.139894122269173","tai-0.130597170213332","khu-0.12942183740242","sonata-0.122391007052814","tham-0.118765945260621","cho�-0.115291230715314","hoành-0.115291230715314","httpthichdocsachorgthreadshoisachtphcmtaicongvienlevantam-0.115291230715314","mièn-0.115291230715314","expo-0.108951994513681","phu-0.107004380160361","chet-0.105474970918943","ban-0.10500697272039","tphcm-0.104870980252524","dã-0.104055275659134","hoa�ch-0.104055275659134","làn-0.104055275659134","nghĩa-0.104055275659134","quá-0.104055275659134","tha�t-0.104055275659134","tỉnh-0.104055275659134","cho-0.102117414421949","voi-0.10209569584974","chát-0.0974826632914803","kỳ-0.0974826632914803","nuóc-0.0974826632914803","tráng-0.0974826632914803","winter-0.0959592889911397","ké-0.092819320602954","nguòi-0.092819320602954","tỏ-0.092819320602954","dem-0.0912329031785952","hoa-0.0899180872297198","cả-0.089202150997478","chủ-0.089202150997478","chúc-0.089202150997478","luo�ng-0.089202150997478","ý-0.089202150997478","mo�t-0.0862467082353005","mot-0.0859325724147319","thẻ-0.0837479169843292","vào-0.0837479169843292","dẻ-0.0796740958676471","xung-0.0793135939774048","hoi-0.0782357271830603","dén-0.0779661959412982","khong-0.0767291987374408","trình-0.0764212125283776","nhu-0.0754111828795047","vong-0.0746856793046453","thành-0.0737132563541777","don-0.0736172538157667","pandora-0.0735250596012013","duo�c-0.0725119619281494","sam-0.0716182160962826","thuc-0.0705430237954676","thai-0.0703795775743176","nhung-0.0697295165170754","nuoc-0.0696928598374267","khoanh-0.0684992408836123","cac-0.0683483009756263","hang-0.0675300755361398","rieng-0.0673624975773512","toi-0.0673585167053639","minh-0.0665556170246586","hay-0.0658938176962493","các-0.0651852574721978","cau-0.0641924698715772","vnd-0.0634838423068037","quoc-0.0629241205213685","duoc-0.062882482338859","mai-0.0612069092862848"
