"user","item","rating"
1,720,6
1,971,10
1,1095,7
1,1616,10
2,133,10
5,907,8
6,328,5
7,328,5
7,1029,5
9,55,5
9,57,3
9,88,10
9,145,7
9,153,1
9,160,5
9,297,9
9,374,4
9,417,4
9,422,7
9,679,3
9,802,6
9,855,5
9,975,1
9,1043,10
9,1057,1
9,1082,8
9,1169,7
9,1205,1
9,1211,9
9,1222,9
9,1228,8
9,1298,10
9,1315,9
9,1320,9
9,1508,1
9,1529,4
9,1575,10
13,1222,9
15,58,5
15,77,10
15,907,10
17,650,4
17,863,7
18,211,1
18,1097,9
18,1240,1
18,1442,10
19,1616,10
22,483,8
23,1043,7
25,328,7
25,1526,3
26,1046,7
27,607,10
29,460,10
30,882,8
31,38,10
31,394,7
31,807,7
31,1598,1
32,466,6
33,907,10
35,162,9
35,907,9
36,223,3
39,483,7
39,720,10
40,394,10
40,831,7
41,466,6
46,538,6
50,328,6
50,720,10
51,1585,5
52,425,4
52,838,5
55,607,10
55,1347,7
55,1633,3
56,716,6
58,1347,7
59,835,8
60,437,10
60,538,6
62,534,7
63,41,3
63,328,7
63,831,9
63,1561,7
65,328,6
65,444,6
65,545,10
65,674,4
65,1537,7
65,1561,7
68,321,5
68,328,5
68,604,3
69,1347,2
72,374,6
72,1575,10
73,2,9
73,394,10
73,469,9
73,594,3
73,699,10
73,720,10
73,924,10
73,947,9
73,1095,10
73,1222,8
73,1339,10
73,1369,10
73,1508,1
73,1616,10
74,883,6
74,1029,7
74,1561,8
75,907,9
75,1550,10
77,208,8
80,767,1
86,1141,1
87,907,9
88,61,4
88,133,9
88,831,8
90,831,5
90,1347,1
92,84,10
92,1029,9
92,1123,1
93,1652,8
94,215,10
96,328,7
98,767,1
99,297,8
99,538,9
99,669,1
99,950,9
101,483,6
101,807,7
101,1429,6
104,1529,2
106,1561,7
107,1029,6
107,1433,10
110,61,4
111,907,5
112,1421,10
112,1519,1
112,1610,5
114,483,7
115,483,6
116,276,5
116,483,7
117,907,10
117,1550,10
119,1561,7
121,1616,10
122,1616,4
123,483,7
123,917,2
127,1429,5
128,1,1
128,186,4
128,215,10
128,839,4
128,981,3
128,1501,6
129,483,7
129,1429,8
131,907,6
133,855,3
134,2,8
134,104,10
134,199,10
134,214,4
134,328,7
134,394,10
134,396,10
134,448,1
134,456,7
134,469,6
134,484,1
134,506,1
134,607,10
134,667,8
134,693,6
134,695,10
134,719,1
134,735,8
134,809,10
134,840,8
134,873,7
134,916,6
134,989,2
134,1015,7
134,1029,9
134,1121,10
134,1238,10
134,1331,10
134,1387,7
134,1406,9
134,1531,6
134,1534,1
134,1537,9
134,1563,1
134,1575,7
136,1675,10
137,555,10
138,907,5
139,1347,4
140,328,7
140,1650,8
141,239,10
141,381,10
141,1029,9
143,328,6
146,807,6
147,328,6
147,607,9
149,328,5
149,1561,6
153,716,7
155,328,9
155,607,6
155,719,9
155,873,7
155,916,5
155,1029,8
155,1420,1
155,1629,5
157,57,10
157,483,6
157,1029,9
157,1433,10
161,394,10
161,1429,3
161,1438,5
164,328,7
168,732,10
170,669,1
171,328,10
171,483,7
171,1029,9
171,1089,10
172,1537,9
173,1575,10
176,133,5
178,328,6
178,483,6
178,1029,5
178,1141,1
178,1244,1
181,480,2
181,1347,6
183,58,1
183,1366,7
183,1639,6
184,721,7
184,910,1
185,133,4
185,1429,8
188,328,6
188,1123,4
189,328,7
189,1561,7
191,394,10
191,411,6
192,807,7
193,1627,10
195,328,6
198,90,8
198,1141,1
199,132,3
199,1125,3
199,1169,7
200,466,6
202,181,2
203,150,2
203,483,7
203,723,5
203,1029,9
203,1095,8
204,907,10
207,907,8
210,1347,2
211,328,6
211,723,5
213,181,2
215,720,10
218,208,8
220,394,10
220,907,9
226,215,9
227,208,9
229,835,8
231,2,6
231,544,5
231,1351,5
232,374,3
238,132,5
239,145,6
239,460,10
239,1575,10
240,208,10
240,215,10
240,1501,10
240,1627,1
242,133,6
242,1353,6
244,907,8
245,460,10
245,544,5
245,1282,4
247,1561,7
248,239,2
248,308,4
248,425,2
248,483,7
248,690,9
248,944,5
249,328,7
251,35,1
251,110,7
251,229,7
251,297,5
251,417,2
251,425,7
251,679,2
251,732,6
251,802,6
251,863,6
251,894,5
251,1043,7
251,1053,6
251,1082,7
251,1144,5
251,1351,3
251,1508,1
251,1532,3
251,1625,5
252,133,4
252,831,10
253,767,1
255,767,1
256,907,7
257,133,7
257,483,5
259,208,3
260,17,3
260,483,5
260,1029,5
260,1167,5
261,104,7
261,1189,6
261,1664,5
262,215,10
264,907,8
265,466,5
