"user","item","rating"
1,133,8
1,7724,7
1,10148,10
1,15530,6
1,18287,10
1,19006,10
1,20737,8
1,22319,10
1,24294,10
1,25731,6
1,26084,10
1,26274,1
1,35647,10
1,37184,9
1,38648,4
1,39095,7
1,41492,3
1,43407,7
1,43836,10
1,44077,7
1,50408,9
1,51399,7
1,54380,7
1,54929,10
1,56397,7
1,61157,10
1,63063,10
1,65602,10
1,67003,5
1,80463,9
1,83601,5
1,94117,7
1,94997,8
1,97111,1
1,97655,10
1,111862,7
1,113740,9
1,114613,1
1,116926,10
1,117041,8
1,121116,7
1,121859,10
1,130970,10
1,131669,10
1,138830,10
1,145007,8
1,150020,7
1,152830,7
1,173384,9
1,180276,7
1,193687,9
1,201897,10
1,208748,6
1,213358,8
1,216793,5
2,133,10
2,7006,10
2,20737,8
2,25083,10
2,26640,7
2,31625,9
2,35647,10
2,41492,9
2,43407,6
2,110261,8
2,117041,8
2,119447,10
2,121859,10
2,122382,8
2,143604,8
2,192666,1
2,193687,7
2,194553,6
2,205930,10
2,211736,9
3,15530,7
3,25083,10
3,31625,7
3,93172,9
3,93891,10
3,117041,8
3,121859,5
3,130815,10
3,132449,8
3,194553,7
4,6269,9
4,6437,8
4,7724,7
4,12513,10
4,41460,4
4,45992,8
4,65602,10
4,68570,5
4,83601,5
4,83773,6
4,89855,5
4,98678,10
4,107776,7
4,152029,9
4,181472,6
4,185310,8
4,208516,7
5,907,8
5,2127,8
5,3132,10
5,9680,7
5,12107,10
5,12795,9
5,15406,7
5,15530,9
5,24309,10
5,25083,10
5,30030,6
5,33006,9
5,35647,10
5,36134,10
5,48463,6
5,54380,7
5,74829,10
5,93172,8
5,93891,10
5,97315,9
5,100855,10
5,117041,8
5,121859,6
5,126924,8
5,127341,10
5,130815,10
5,132449,8
5,143604,8
5,156148,10
5,162783,9
5,163100,4
5,193687,10
5,194553,7
5,205930,10
5,208304,7
5,210831,7
6,328,5
6,12513,10
6,25013,10
6,54759,5
6,68989,6
6,83773,6
6,89855,6
6,101003,8
6,123702,10
6,131791,4
6,131915,6
6,150020,7
6,159680,10
7,328,5
7,1029,5
7,22319,10
7,24294,9
7,68989,6
7,89548,4
7,98678,10
7,110327,8
7,155380,6
8,22319,10
8,131867,10
9,1721,10
9,2111,8
9,2393,8
9,3248,5
9,6932,6
9,7138,7
9,11265,9
9,22327,8
9,25013,10
9,25978,8
9,27728,2
9,31116,10
9,33216,10
9,47612,8
9,56116,7
9,57238,10
9,65854,5
9,66787,9
9,71570,10
9,74099,8
9,74257,10
9,81470,10
9,82962,10
9,85407,10
9,86442,6
9,96663,8
9,97992,8
9,98369,10
9,99476,10
9,104785,10
9,113157,10
9,119434,7
9,122905,1
9,125294,7
9,126047,5
9,131867,10
9,135270,5
9,144908,5
9,154345,7
9,173600,9
9,206613,6
10,31116,5
11,7006,8
11,12006,9
11,54759,10
11,89548,7
11,89855,6
11,104565,10
11,110327,10
11,138830,10
11,175218,8
11,179192,9
11,184349,2
12,94997,7
12,117041,8
12,121859,10
12,122382,5
12,156148,10
12,192666,1
12,193687,7
12,208748,6
13,22319,10
13,22327,8
13,27728,2
13,31116,8
13,113157,10
14,1721,8
14,7219,7
14,63228,9
14,74958,1
14,101963,8
14,109101,9
14,117981,10
14,126047,7
15,907,10
15,12107,10
15,26485,9
15,100855,10
15,101384,10
16,31116,10
17,1721,8
17,3248,10
17,6932,6
17,7138,6
17,22319,10
17,31116,9
17,33216,10
17,65854,5
17,74257,8
17,81470,10
17,82962,3
17,126047,8
18,2111,8
18,11265,8
18,27728,2
18,31116,7
18,33125,9
18,33216,9
18,50216,8
18,66787,7
18,71570,10
18,73728,8
18,74099,7
18,99476,5
18,104785,9
18,113157,10
18,144908,5
18,205702,2
19,6437,7
19,20737,8
19,24294,7
19,25731,4
19,26640,8
19,33006,5
19,37122,5
19,44077,6
19,54929,10
19,60983,5
19,68989,6
19,83601,5
19,111862,5
19,121116,7
19,121859,10
19,122382,5
19,128293,7
19,130970,10
19,162707,2
19,181472,2
19,192666,1
19,193687,8
19,194553,5
21,1721,5
21,7219,7
21,71636,10
21,109101,9
21,117981,10
22,483,8
22,17400,9
22,19006,10
22,20737,9
22,25731,7
22,26084,9
22,51399,9
22,54929,10
22,56397,8
22,68716,10
22,72481,8
22,75169,10
22,89543,10
22,91375,8
22,117775,10
22,118322,10
22,125294,9
22,132449,10
22,132860,10
22,156148,10
22,162707,2
22,193216,8
22,193687,8
23,1721,5
23,7219,6
23,51895,5
23,71636,10
23,72946,8
23,74958,1
23,93681,10
23,96663,7
23,101963,6
23,121469,5
23,135270,7
23,147383,7
23,154345,5
23,206613,1
24,6036,10
24,12513,10
24,18287,8
24,24294,10
24,32711,8
24,43715,10
24,50408,8
24,68989,5
24,76596,7
24,83773,7
24,89548,1
24,91375,7
24,97111,1
24,104401,7
24,113740,9
24,113794,10
24,114613,2
24,120169,10
24,121205,8
24,121609,6
24,122037,8
24,126293,8
24,127514,5
24,131915,5
24,145007,8
24,155380,6
24,179192,10
24,195268,2
24,219711,9
25,328,7
25,6036,8
25,12006,8
25,12513,10
25,19006,10
25,50408,8
25,54759,5
25,68989,6
25,83773,6
25,89855,5
25,101003,5
25,131915,5
25,150020,6
25,155380,6
25,175218,8
25,179192,7
25,184349,2
26,9680,5
26,15406,4
26,21497,10
26,27528,5
26,30030,3
26,34219,6
26,36583,6
26,42490,10
26,44262,2
26,46687,7
26,47534,9
26,50408,5
26,74829,10
26,93458,3
26,97023,7
26,100855,10
26,101384,10
26,121859,10
26,139552,10
26,156148,10
26,167976,8
26,193687,8
26,202830,6
26,208304,4
26,210831,8
27,26274,1
27,123702,10
27,128293,7
27,152029,7
28,2127,5
28,9680,8
28,105660,10
28,119447,10
28,143604,8
28,149421,1
28,150020,7
29,1721,5
29,2393,2
29,3248,1
29,33216,9
29,34328,7
29,50216,5
29,71570,10
29,71636,10
29,74257,9
29,74958,1
29,85407,7
29,93681,10
29,96663,7
29,97992,8
29,113157,10
29,117981,10
29,121469,5
29,131867,8
30,52391,10
31,5962,4
31,6437,7
31,6932,10
31,7724,7
31,10148,10
31,14258,10
31,26084,9
31,31869,5
31,35647,10
31,39095,7
31,43715,10
31,54929,10
31,61157,9
31,63063,10
31,67003,4
31,68570,9
31,72481,8
31,83601,5
31,96329,6
31,107776,7
31,111862,8
31,117775,10
31,121609,8
31,122037,8
31,131669,10
31,143706,10
31,156908,10
31,175218,7
31,176744,6
31,180276,5
31,193216,8
31,202509,8
32,34328,7
32,71636,10
32,72946,7
32,74099,8
32,84859,4
32,101963,7
32,109101,7
32,121469,6
32,135270,6
33,907,10
33,30030,4
33,35647,10
33,47534,10
33,50408,9
33,97023,10
33,139552,10
33,208304,7
34,7138,6
34,31116,5
35,907,9
35,3132,6
35,7219,5
35,9680,8
35,12795,8
35,15406,7
35,15530,8
35,24309,10
35,27528,10
35,30030,5
35,31625,7
35,34219,8
35,35647,10
35,36134,10
35,36583,9
35,36793,10
35,41492,9
35,44077,7
35,44262,10
35,46687,9
35,54380,7
35,54982,10
35,80463,9
35,93172,7
35,93458,10
35,93891,10
35,94997,8
35,100855,10
35,117041,8
35,121116,8
35,121859,10
35,126924,7
35,143604,7
35,156148,10
35,162783,7
35,163100,5
35,193687,9
35,194553,6
35,201897,6
35,205930,10
35,208304,8
35,208748,5
35,210831,7
36,65602,10
36,89855,7
36,96796,7
36,130970,10
36,138830,10
36,209245,6
37,17761,8
37,34328,7
37,47612,8
37,70692,8
37,71636,10
37,74958,1
37,96663,7
37,135270,7
37,147383,8
38,14258,10
38,17400,7
38,20737,8
38,25083,10
38,26193,10
38,26640,10
38,37122,6
38,38648,5
38,45992,10
38,74617,10
38,86832,10
38,88269,9
38,90622,8
38,92078,10
38,111862,6
38,121116,7
38,121859,10
38,143604,6
38,156148,10
38,193687,9
38,194553,6
38,201897,6
38,205930,10
39,483,7
39,6269,9
39,7679,5
39,7724,7
39,10148,10
39,10531,10
39,35647,10
39,36151,7
39,37122,9
39,45992,6
39,50408,8
39,54929,10
39,65602,10
39,68989,6
39,73967,9
39,83601,9
39,83773,10
39,89543,9
39,89548,5
39,89855,6
39,97111,7
39,102328,10
39,106977,10
39,107776,8
39,117775,10
39,143706,10
39,149421,2
39,155380,6
39,156148,10
39,156908,10
39,173384,9
39,180276,8
39,195268,6
39,213358,9
39,216793,10
40,5670,7
40,6437,7
40,10628,8
40,11861,7
40,14258,10
40,20737,9
40,23795,10
40,26084,9
40,33006,6
40,37122,8
40,40998,7
40,43407,7
40,43836,7
40,45992,5
40,54380,7
40,54929,10
40,60983,6
40,68989,6
40,73967,7
40,91375,8
40,94997,8
40,101384,10
40,102153,6
40,114577,10
40,121116,8
40,121859,10
40,122382,7
40,132449,7
40,162707,4
40,173600,7
40,192666,1
40,193687,9
40,194553,5
40,201897,7
41,33216,10
41,47612,5
41,71636,10
41,96663,8
41,99476,5
41,147383,8
42,9680,7
42,15406,7
42,21497,10
42,27528,7
42,30030,7
42,34219,8
42,36583,8
42,36793,10
42,42490,10
42,44262,8
42,46687,10
42,47534,9
42,54982,10
42,65218,10
42,74829,10
42,93458,7
42,97023,9
42,100855,10
42,101384,2
42,121859,10
42,156148,10
42,167976,10
42,193687,8
42,208304,8
42,210831,7
43,22319,10
43,22327,7
43,34328,6
43,71636,10
43,82962,1
43,126047,6
44,6036,9
44,6269,10
44,34848,10
44,51895,1
44,54759,5
44,98678,10
44,135161,7
44,140729,10
44,156148,10
44,159680,10
45,31116,10
45,33216,9
45,113157,10
46,7138,6
46,11265,6
46,25978,8
46,31116,10
46,33216,10
46,71570,10
47,17761,5
47,71570,10
47,74099,8
47,74958,1
47,85407,7
47,86442,5
47,93681,10
47,101963,8
48,6036,7
48,12006,5
48,24294,7
48,135161,6
48,140729,10
48,156148,10
48,159680,10
49,31116,10
50,328,6
50,12006,6
50,16546,4
50,18287,7
50,54759,5
50,89855,5
50,92078,6
50,98678,10
50,110327,7
50,138830,10
50,173600,5
50,179192,8
51,31116,10
51,70692,10
51,104401,5
52,22327,7
52,27728,2
52,31116,9
52,33216,10
52,56116,4
53,71636,10
53,93681,10
53,135270,7
54,34328,8
54,71636,10
54,74958,1
54,135270,7
54,206613,1
55,1347,7
55,6036,9
55,7679,5
55,13857,4
55,16546,4
55,19006,10
55,54759,5
55,97111,1
55,98678,10
55,101003,6
55,135161,7
55,138830,10
55,140729,10
55,156148,10
55,159680,10
55,162707,3
55,179192,7
55,183960,10
56,22327,9
57,6036,9
57,54759,5
57,83773,5
57,89855,6
57,120169,8
57,135161,8
57,140729,10
57,156148,10
57,159680,7
58,1347,7
58,6036,8
58,42490,10
58,54759,5
58,135161,10
58,140729,10
58,156148,10
58,159680,10
58,162707,5
58,183960,10
59,2127,8
59,3132,5
59,7219,6
59,9680,8
59,12107,10
59,12795,8
59,15406,5
59,15530,8
59,24309,10
59,27528,7
59,30030,7
59,33006,9
59,34219,10
59,35647,10
59,36134,5
59,36583,9
59,36793,10
59,44262,9
59,46687,10
59,48463,5
59,54982,10
59,65218,10
59,74829,10
59,93172,7
59,93458,6
59,93891,10
59,97023,7
59,97315,8
59,100855,10
59,117041,8
59,121859,10
59,126924,10
59,127341,10
59,130815,10
59,156148,10
59,162783,9
59,193687,8
59,194553,7
59,201897,7
59,208304,6
59,208748,8
59,210831,5
60,2393,6
60,7724,7
60,10148,10
60,10628,9
60,20737,9
60,22319,10
60,33006,7
60,51359,7
60,51399,8
60,60983,6
60,97655,10
60,110261,6
60,114577,10
60,121859,10
60,127514,5
60,162707,4
60,173600,7
60,192666,6
60,193687,8
60,201897,7
61,2111,8
61,6932,5
61,22327,8
61,31116,10
61,51895,7
62,54759,5
62,83773,6
62,89855,6
62,101003,6
63,328,7
63,1561,7
63,6437,7
63,7679,5
63,14258,9
63,19006,10
63,26274,1
63,36151,1
63,41492,6
63,61157,10
63,65602,10
63,67003,5
63,76524,10
63,83601,6
63,83773,6
63,89855,6
63,92078,9
63,97111,1
63,97655,10
63,104401,7
63,113794,10
63,114613,1
63,121205,8
63,122037,9
63,125294,8
63,126293,8
63,131791,7
63,131915,5
63,155003,1
63,155380,3
63,162707,4
63,176904,5
63,184349,2
63,205702,10
64,6437,7
64,10148,10
64,14258,9
64,20737,8
64,25731,4
64,26193,10
64,26640,10
64,50408,7
64,54380,7
64,60983,5
64,68989,6
64,102328,1
64,111862,7
64,117041,8
64,121859,10
64,122382,4
64,156148,10
64,162707,4
64,173600,5
64,193687,7
64,216006,1
65,328,6
65,1561,7
65,5962,8
65,7679,5
65,10531,5
65,11861,5
65,12788,8
65,14258,10
65,16546,1
65,18287,7
65,19006,10
65,23795,7
65,26274,1
65,32711,8
65,34848,10
65,39095,6
65,40998,8
65,41492,6
65,43715,10
65,45992,2
65,47612,5
65,50408,9
65,75169,10
65,76524,10
65,83601,3
65,83773,7
65,89855,6
65,92078,5
65,97111,1
65,97655,10
65,107776,5
65,113794,10
65,114577,10
65,114613,1
65,116926,10
65,119962,7
65,120169,10
65,121205,8
65,126293,9
65,130970,10
65,131446,5
65,131669,10
65,131791,1
65,131915,5
65,132860,10
65,135273,8
65,143706,10
65,150020,7
65,152029,3
65,155003,2
65,155380,6
65,156148,10
65,160731,6
65,176904,5
65,179192,9
65,184349,2
65,185310,8
65,205930,10
65,219711,5
66,109101,9
66,112056,8
66,117981,10
67,25083,10
67,30030,2
67,31625,7
67,35647,10
67,43407,5
67,48463,5
67,74617,10
67,97315,3
67,115732,10
67,117041,8
67,119447,10
67,121859,6
67,143604,7
67,156148,10
67,192666,1
67,194553,7
67,205930,10
68,328,5
68,7679,5
68,12513,10
68,14258,9
68,61157,10
68,65602,10
68,83601,5
68,83773,7
68,89855,6
68,97111,1
68,98678,10
68,121205,9
68,126293,8
68,130970,10
68,143706,10
68,152029,7
68,155380,5
68,156369,10
68,185310,8
69,1347,2
69,24294,8
69,120169,6
69,135161,9
69,156148,10
69,159680,10
70,2111,8
70,11265,7
70,31116,8
70,33216,10
70,71570,10
70,113157,10
71,2127,7
71,10628,8
71,11861,4
71,14258,10
71,16546,8
71,17400,7
71,20737,8
71,36964,6
71,37184,9
71,39095,7
71,50408,9
71,110261,7
71,118322,10
71,119962,6
71,121859,10
71,128293,7
71,130970,10
71,156148,10
71,180276,6
71,180504,8
71,192666,7
71,193687,10
71,211736,9
71,216793,5
72,6932,5
72,70692,10
72,71636,10
72,82962,9
72,84859,2
72,154345,10
