"item","Freq"
"156148",164
"31116",149
"121859",127
"193687",117
"71636",113
"83773",109
"89855",104
"22319",98
"20737",97
"33216",94
"162707",88
"68989",87
"192666",75
"50408",74
"1721",73
"208748",72
"60983",71
"194553",70
"117041",67
"7724",66
"117981",66
"179192",66
"6036",65
"102328",65
"155380",63
"328",61
"26084",61
"65602",61
"107776",61
"180276",61
"205930",61
"74958",60
"113157",60
"180504",60
"10148",59
"184349",59
"54759",58
"96796",58
"122382",58
"14258",57
"30030",57
"83601",57
"98678",57
"208304",56
"61157",55
"96663",55
"201897",55
"130815",53
"97111",52
"159680",52
"22327",51
"71570",51
"93172",50
"143706",50
"6437",49
"54929",48
"65679",48
"120169",48
"36964",47
"41492",47
"67003",47
"72481",47
"143604",47
"33006",46
"45992",46
"89548",46
"126293",46
"907",45
"12006",45
"35647",45
"93681",45
"100855",45
"130970",45
"12513",44
"75169",44
"109101",44
"111862",44
"131791",44
"9680",43
"34328",43
"39095",43
"15406",42
"40998",42
"114613",42
"132860",42
"135161",41
"19006",40
"25083",40
"209245",40
"81470",39
"93891",39
"211736",39
"5962",38
"93458",38
"131915",38
"193216",38
"483",37
"6932",37
"7679",37
"44262",37
"73967",37
"101384",37
"121116",37
"150020",37
"24294",36
"74829",36
"85407",36
"97992",36
"110261",36
"117775",36
"119962",36
"122037",36
"122905",36
"126047",36
"154345",36
"7006",35
"18287",35
"24309",35
"31625",35
"43715",35
"89543",35
"125294",35
"25978",34
"97315",34
"213358",34
"133",33
"15530",33
"97655",33
"41460",32
"74257",32
"121469",32
"135270",32
"175218",32
"2393",31
"3248",31
"5670",31
"23795",31
"26193",31
"26640",31
"27528",31
"34219",31
"68716",31
"74099",31
"86442",31
"104565",31
"173384",31
"25731",30
"37184",30
"101963",30
"126924",30
"131867",30
"156369",30
"183960",30
"195268",30
"219711",30
"2127",29
"16546",29
"48463",29
"65854",29
"82962",29
"94117",29
"106977",29
"131669",29
"1029",28
"7219",28
"36151",28
"36583",28
"63063",28
"104401",28
"138830",28
"147383",28
"149421",28
"156908",28
"173600",28
"1561",27
"36793",27
"51399",27
"70692",27
"99476",27
"119447",27
"144908",27
"152830",27
"182280",27
"6269",26
"9727",26
"11861",26
"12788",26
"34848",26
"46687",26
"47534",26
"90622",26
"91375",26
"92078",26
"96329",26
"102153",26
