eventId,description
407965239373341,"Fostering collaboration on Sustainable Agriculture, Food and Energy which will be held from 17-20 November 2015 at Nong Lam University Ho Chi Minh City, VIETNAM. This conference is the third conference after the 1st International Conference on Sustainable Agriculture, Food, and Energy (SAFE2013) in Padang, Indonesia (12-14 May 2013) and the 2nd conference SAFE2014 in Bali, Indonesia (17-19 September 2014).

For application and  more information in detail:
http://safe2015a.safetainability.org/"
1215320585149804,Lam chuyen ket hop tu thien luon
534708873350828,Khai truong NU Coffee PVD
1530136120643016,"Cạp nhạt: anh chi em nào tham gia tình nguyẹn chièu 19/11/2015 tại san Thóng Nhát vui lòng tạp trung lúc 14g ỏ khu vục cỏng chính duòng Nguyẽn Kim. Chuong trình dụ kién két thúc lúc 18g. Trang phục tụ do hoạc áo các họi cỏ dọng vien. Mõi tình nguyẹn vien mang theo mọt dụng cụ dọn dẹp vẹ sinh và cọ vẽ. Lien lạc qua só 0902848163 (gạp Tí Thong Minh).

--- 

Kinh gui quy anh chi sinh vien tai Tp.HCM,

Chung toi la mot nhom co dong vien bao gom cuu sinh vien DHQG-HCM va mot so truong dai hoc, tung cong tac voi mot so hoat dong giao luu van hoa ASEAN & quoc te trong pham vi thanh pho. Hien chung toi co thuc hien trang thong tin giai bong da U21 quoc gia & quoc te nham xay dung van hoa co dong the thao doan ket, ky luat va dam da ban sac dia phuong cho thanh nien Viet Nam noi chung va gioi sinh vien Tp.HCM noi rieng. 

Vua qua tai vong chung ket Giai Bong da U21 Quoc gia Bao Thanh Nien, trong luc lam phong su ve cac nhom co dong vien chung toi co duoc biet rat nhieu ban sinh vien DHQG-HCM va mot so truong dai hoc voi dong phuc den co vu rat nhiet tinh vo tu cho cac doi bong tre, tuy khong co su to chuc mang tinh cach doi ngu. Nhieu ban sinh vien khac tham gia phat nuoc va dung cu co vu cho gan 2000 khan gia tren san van dong Thong Nhat. 

Chung toi mong muon tiep tuc dong hanh cung ban to chuc va cac to chuc thanh nien tap hop nhung ban sinh vien yeu thich co vu the thao hoac truyen thong cho cac ban sinh vien nao toi san cung chung tay lam doi hinh co vu cho doi bong dai dien cho Thanh Nien Viet Nam (U21 Bao Thanh Nien va U21 HAGL). Doi hinh “Sinh vien Tp.HCM co dong giai U21 quoc te"" cung the hien tinh than hoi nhap, than thien va doan ket voi thanh nien ASEAN & quoc te thong qua viec lam co dong vien trung lap co vu cho nhung doi ban khi doi nha khong thi dau nhat la cac nuoc ASEAN (Thai Lan, Myanmar, Singapore). 

Truoc giai dau, doi hinh nay tham gia cac hoat dong tinh nguyen nham cai thien my quan va tao dau an cho dia diem to chuc giai U21 quoc te la khu vuc xung quanh san van dong Thong Nhat. 

Trong giai dau, doi hinh nay se tap trung xuyen suot o trung tam o khan dai B san van dong Thong Nhat, lam nhom nong cot cung cac doi hinh co vu cua Hoi co dong vien bong da Viet Nam (du kien o khu vuc khan dai D) va nhom co dong vien U21 HAGL truyen cam hung cho hang ngan khan gia xem truc tiep va hang trieu khan gia xem qua truyen hinh.

Noi dung va hinh thuc co vu chung toi dang nho cac ca nhan co chuyen mon lien quan nghien cuu xay dung (gom bai hat co vu the thao, bai hat co dong cua phong trao Doan thanh nien, dong tac co vu, kich ban co vu xuyen suot 90 phut, mau ao thong nhat la ao DHQG-HCM dong hanh cung giai hoac ao xanh thanh nien ket hop khan co vu Viet Nam) va neu duoc ho tro chung toi se tien hanh tap truoc giai voi cac ban sinh vien chu chot. 

Tinh than cua chung toi la van dong su ung ho cua cac ca nhan co quan to chuc tai tro cho van hoa co dong the thao va su tham gia cua cac ban sinh vien co mat tren san va co dieu kien mua ve vao san khu vuc khan dai B (du kien 100.000d/ve/tran) do hien tai chung toi khong co nguon tai tro nao dang ke ma tu luc chia se chuyen mon lien quan va tinh than truyen lua cua minh la chinh. Nhan thuc duoc truyen thong nhiet tinh cua sinh vien thanh pho trong cac hoat dong cong dong, trong truong hop duoc ban to chuc ho tro chung toi se to chuc mua ve voi gia thap hon gia goc tao dieu kien cho nhieu sinh vien hon tu cac truong den tham gia co vu giai U21 quoc te.

Cac ban sinh vien khong thuoc Dai hoc Quoc gia Tp.HCM va cac truong chinh thuc gui doi hinh di co dong giai U21 quoc te co the tien hanh dang ky ca nhan de tham gia cac doi hinh co vu theo bieu mau dien truc tiep qua mang tai dia chi: https://codongvien.wordpress.com/2015/11/10/dang-ky-tham-gia-cac-doi-hinh-co-vu-cho-giai-bong-da-u21-quoc-te-bao-thanh-nien/ (luu y phai dang nhap vao tai khoan Google moi thay bieu mau)

Voi y tuong nay chung toi tin tuong muon dong gop mot gia tri cho thuong hieu thanh nien va sinh vien Tp.HCM luon nang dong voi be day truyen thong dong hanh cung cac su kien lon cua thanh pho va dat nuoc, dien hinh nhu Dai hoi The thao Dong Nam A (SEA Games 2003), Hoi nghi Thuong dinh Hop tac Kinh te Chau A Thai Binh Duong (APEC 2006), Dien dan Kinh te The gioi ve Dong A (World Economic Forum on East Asia 2010)... chung tay xay dung mot quoc gia Viet Nam doan ket va thinh vuong voi nen van hoa co dong the thao dam da ban sac dan toc.

Hen gap lai tren san van dong Thong Nhat. 

Tran trong.

Nhom Co dong vien Bong da tre"
1617910321803458,"Lau 5 - C505 - DAI HOC VAN LANG
08:00 17/11/2015
Khuc tinh xua - Sau le bong - Ca si Tieu My"
1642998415970980,"Your weekend just got one day longer!!!
Every Monday, Salsateka Uk in Vietnam & Cuba - La Casa Del Mojito presents...
The hottest Salsa nights in Vietnam...just like in the heart of Havana! FREE Crazy Salsa/Bachata class at 9pm lead by international instructor Marta Bartosz - Salsateka UK. followed by FREE social party till late acompanied by the one and only CUBAN DJ - EDDY direct from Santiago in CUBA!! 

Join us at 8pm for a great Cuban food and few mojitos just to get the night started and then lets hit the dance floor together and party hard like you never did in your life!!

Two left feet? No partner? Never dance before? NO PROBLEM! we have all this covered ;) join us on the dance floor and lets SALSA the night away!!"
1059918304040852,Cach lam banh ngon
609445715860145,"Ban se thau hieu nhung nguyen nhan goc re cua cac van de chung ta dang phai doi dau trong cuoc song hien tai, hieu duoc nhung nhan qua cua chinh minh, duoc dan dat de chua lanh cho chinh minh trong co the, tam tri, cam xuc va ca tam hon, chuyen hoa cuoc song cua minh va truong thanh trong cuoc song tam linh, tu chua benh, lam chu giac mo, thay duoc cac kiep truoc, qua khu, cuoc song trong tuong lai cua chinh minh...

Dr. Newton & Dr. Lakshmi, chuyen gia noi tieng the gioi ve thuyet luan hoi va luat nhan qua, nha tri lieu tien phong cua lieu phap quay ve tien kiep da den Viet Nam va giup ban dat duoc tat ca cac dieu ky dieu tren trong Khoa hoc Chuyen sau Quay ve tien kiep.

Ban se duoc trai nghiem: kich hoat con mat thu ba, du hanh trong thien ha, tang cuong truc giac, chuyen hoa nang luong, quay ve tien kiep cua chinh minh.

Thong tin khoa hoc:
Thoi gian: 8h30-17h30, Thu ba va Thu tu, 17-18/11/2015
Dia diem: Toa nha Ocewa, so 19 Ho Van Hue, Phuong 9, Quan Phu Nhuan
Hoc phi: 3.000.000 VND
Qua tang: 2 quyen sach dac biet Nang Luong Kim Tu Thap va Khong Co Cai Chet

Thong tin dang ki: http://goo.gl/forms/QZvaSx6dZw
Hotline: 0933779756, Mr. Tarun Tri Nguyen
Email: hoamocduyen@gmail.com
Thong tin tai khoan: VCB Le Thi Kim Loan 0181000881523"
122286908135599,"Trong khuon kho Lien hoan am nhac Chau Au, Vien Goethe da moi ban nhac Techno Brandt Brauer Frick sang bieu dien o TP.HCM vao luc 20 gio ngay 19-11, tai Nhac vien TP.HCM

Ve moi duoc phat tu 9 gio ngay 16-11 tai Vien Goethe TP.HCM (so 18 duong so 1, cu xa Do Thanh, phuong 4, quan 3) hoac 9g sang tai IDECAF, Vien Trao doi Van hoa voi Phap, 21 Thai Van Lung Q1 TPHCM"
523608244484258,"- Thoi gian: Thu BA ngay 17/11 tu 13h00 -16h00 
- Giao vien huong dan: Thay Hoang Minh.
- Noi dung:
+ Cach nau nen (base) trong cho rau cau 3D.
+ Cach pha mau cho rau cau.
+ Cach dung kim tao hinh hoa, la.
+ Cach do day cho banh dung dep.
- Dia chi: 7/45 Thanh Thai P.14 Q.10 Tp.HCM (gan cau vuot duong 3/2 & duong Thanh Thai)
- Hoc phi 300.000/nguoi/lop (toi da 8 hoc vien)
- Cac ban vui long thanh toan hoc phi truoc ngay 17/11/2015 de chuan bi nguyen lieu cho cac ban thuc hanh nhe.
- Cac ban dang ky hoc vui long nhan tin ten, sdt va moi thong tin chi tiet ve lop hoc qua facebook: 
https://www.facebook.com/Rau-Cau-Nghe-Thuat-3D-Hoang-Minh-1662966290586585/"
423555677848446,"Den hen lai len, lan nay Grokking muon moi ba con bang huu den tham gia voi Coding Challenge - Code Nhanh Hot Giai. 

(ban nao dang ky roi hoac muon nhan updates nho nhan ""Interested/Going"" tren FB event.

Khac voi cac su kien truoc day, hoat dong lan nay se keo dai tu 21/11 den 6/12 va bao gom 2 phan: 

- Phan 1: (23 thang 11 - 3 thang 12)
Hang tuan ban to chuc se co nhung cau hoi ve khoa hoc may tinh cung nhu phat trien phan mem cho ca nhan cung nhu team dang ki tham du. Nhung cau hoi nay se duoc post va tra loi online.

- Phan 2: (sang CN, 6 thang 12)
Cac doi/ca nhan se tham gia giai quyet mot thu thach trong thuc hanh phat trien phan mem tao Dreamplex.

Chu y: Cac ban dang ki thi nhom thi tat ca cac thanh vien phai dang ki va ten nhom giong nhau luc dang ki. Nhom khong duoc qua 3 thanh vien.

Tai sao ban nen tham du challenge lan nay?????
- De thu thach ban than voi nhung nhiem vu cong nghe kho.
- Thong tin cua ban se o trong tam ngam cua nhung cong ty cong nghe chat luong o Viet Nam cung nhu Singapore.
- Ban se thay minh phat trien hon ky nang phat trien phan mem.
- Phan cuoi cung nhung khong kem phan quan trong, do la .... phan thuong hap dan. Hap dan nhu the nao thi ... dau roi se biet :D.

Neu cac ban co cau hoi gi thi hay dang tren trang su kien de ban to chuc co the giai dap thac mac nhanh nhanh nhe.

---------------------------------------------------
Coding Challenge:
- Part 1: (November 21st - December 3rd)
Weekly online quiz on computer science & software development .

- Part 2: (Sunday morning, December 6th)
Software Engineer Competition: Within 3 hours, you need to solve a real-world software engineering problem.

Note: If you a re registering in group, all team members should  and you should put the same group name during registration.

Why should you join this Challenge??
- Challenge yourself with technically challenging tasks
- Get your profile in the radar of recruiters from top tech companies in VN & Singapore
- Seeing your 10x improvement as an engineer
- Last but not least .... attractive prize :D

---------------------------------------------------

DON DANG KY - REGISTRATION FORM
(Deadline - Han chot nhan don: 22/11/2015)

http://bit.ly/grokking-6-coding-challenge

-----------------------------------------------------
Sponsors by: Dreamplex, MySquar, Hoiio"
505817212923414,"Chuong trinh gap go  Gs Ton That Nguyen Thiem tro chuyen ve
“NGHE NGHIEP &CO DUYEN” nhan ong ra mat hai tac pham moi:
- Ngo...
- Tu Marketing den Thoi trang va Phong cach song.
Dien gia: Ts Duong Ngoc Dung
Thoi gian:
Tu 9h30 – 11h00, Thu Ba, Ngay 17.11.2015
Dia diem:
Hoi truong Nha xuat ban Tre, 161B Ly Chinh Thang, Q.3, TP.HCM.
Kinh moi ban doc tham du. Vao cua tu do."
484435615060571,"Chuong trinh Tu van Sinh Trac Hoc Dau Van Tay duoc thuc hien boi KLD voi su chuyen giao cong nghe khoa hoc tu Singapore. Khi tham du chuong trinh, cac ban se co co hoi:
- Tim hieu ve tinh cach bam sinh cua chinh minh
- Biet duoc diem manh, diem yeu, nang luc cot loi cua ban than
- Kham pha kha nang ket noi tinh cach cua moi nguoi
- Phuong phap hoc tap va tiep thu kien thuc bam sinh 
- Danh gia muc phan xa thong tin dua vao ATD
- Danh gia 8 loai hinh thong minh phu hop
- Dinh huong nganh nghe, cong viec so truong cua ban than. Nam dung huong, di dung duong
De duoc giai dap thong tin va tham du chuong trinh, vui long dang ki ben duoi"
410356192507154,"Lop trung A1 sap khai giang bao gom luyen thi trinh do A1 (SD1) / Neuer A1 Standard+ Kurs

Ngay bat dau/Startdatum: 06/10/2015 18h00
10 ‐ 16 hoc vien
Thu 3,5: 18h00 – 21h00;
8 tiet / 1 tuan

Hoc phi cho cho nua cap do (vv. A1.1/A1.2) - 12 tuan: 4.200.000 VND
Hoc phi cho 4 tuan: 1.600.000 VND
- bao gom ca tai lieu hoc

Them thong tin: http://www.germancenter-st.com/khoa-hoc-tieng-duc-tp-hcm

Lich khai giang cac lop hoc Tieng Duc : http://www.germancenter-st.com/lich-germancenter

De dang ky vui long lien he chung toi theo so hoac email.

Germancenter-ST / Chuyen Ngu Duc
139D Nguyen Dinh Chinh, P. 8, Quan Phu Nhuan, Tp. HCM
T.: 08 38 44 75 42
info@germancenter-st.com
www.germancenter-st.com"
587580811382483,"- Tiec cuoi cua chung toi duoc to chuc vao 2 ngay 22/11/2015 tai tu gia Soc Trang
- Su hien dien cua quy khach la niem hanh phuc cua chung toi
Cam on quy khach - Mong quy khach tham gia dong du :D"
1647213525551952,"Ban co tung mo uoc tro thanh mot CEO noi tieng?

Ban co muon biet nhung CEOs noi tieng noi gi ve cong viec ho dang lam?

CEO Talk la mot chuoi nhung buoi chia se cua cac CEOs noi tieng tai Viet Nam do Apollo 360o to chuc, day cung la mot phan trong tien ich Career Boost ma Apollo muon mang den cho nhung hoc vien hien tai va cac khach moi tham du, giup ho dinh huong nghe nghiep va tu tin hon cho cong viec trong tuong lai.

Hay den tham gia cung chung toi & lang nghe nhung chia se tu ong Pham Hong Hai - Tong Giam Doc HBSC Viet Nam.

Ngay: Thu ba, 17.11.2015

Thoi gian: 18g30 – 20g00

Dia diem: Tang 4, 58 Pham Ngoc Thach, Quan 3, Thanh pho Ho Chi Minh

Cho ngoi gioi han, vui long DANG KI tai link sau: https://goo.gl/D1HBJT

Pham Hong Hai duoc bo nhiem lam Tong Giam doc Ngan hang trach nhiem huu han mot thanh vien HSBC Viet Nam vao ngay 1 thang 12 nam 2014. Ong la nguoi Viet Nam dau tien giu chuc vu cao nhat tai HSBC Viet Nam. Ong Pham Hong Hai gay duoc su chu y va kinh trong trong nganh tai chinh ngan hang Viet Nam. Ong la nguoi Viet dau tien duoc bo nhiem lam Giam doc Khoi kinh doanh ngoai hoi va thi truong von cua HSBC Viet Nam vao nam 2004, Giam doc Khoi nghiep vu ngan hang toan cau, kinh doanh ngoai hoi va thi truong von (GBM) vao nam 2012.

Duoi su lanh dao cua ong, GBM tro thanh mot trong nhung phong kinh doanh lon va mang lai loi nhuan lon nhat trong so cac ngan hang nuoc ngoai tai Viet Nam. Ong Hai duoc Cong doan Ngan hang nha nuoc Viet Nam trao bang khen cho nhung cong hien cua ong doi voi nganh ngan hang Viet Nam trong giai doan 2011 toi 2013.

-----

Have you ever dreamed to become a famous CEO?

Would you like to know what a CEO talks about their life and work?

Come and attend Apollo English 360o “CEO TALK: FROM A TRADER TO THE CEO OF HSBC VIETNAM"" by Mr Hai Pham Hong

Date: Tuesday, November 17th, 2015

Time: 6.30pm – 8.00pm

Venue: 4th Floor, Apollo 360 PNT – 58 Pham Ngoc Thach, District 3, Ho Chi Minh City

Seats are subject to availability, follow this link for REGISTRATION: https://goo.gl/D1HBJT

Pham Hong Hai became the new Chief Executive Officer (CEO) of HSBC Bank (Vietnam) Ltd on 1st December 2014. He is the first ever Vietnamese person to head operations at this Vietnam’s leading foreign-owned bank.

Hai, a well-known and respected figure in the country’s banking and finance sector, is also the first ever Vietnamese national to be appointed head of Global Banking and Markets (GB&M) in 2012. Under his leadership, GB&M developed into one of the largest and most highly-regarded franchises among foreign banks in Vietnam.

Hai personally received a Certificate of Merit for excellence from Trade Union of the State Bank of Vietnam for his contribution to the Banking industry of Vietnam between 2011 and 2013"
1232287183454381,"Phat com, sua, banh, nuoc uong cho nguoi ngheo, nguoi vo gia cu. Khu vuc Binh Thanh."
1192029400810636, 
1658388237753858,"Mundo Lingo Free Language Exchange: (Tieng Viet ben duoi)

Suscribe to be updated on upcoming events: 
https://www.facebook.com/MundoLingoVN/events
Keep in touch with everyone at the Saigon Group:
fb.com/groups/ML.Saigon

:::Who we are:::
We're a group of people from a variety of different countries that meet once a week to chat, meet new people and practice speaking languages.

:::How it Works:::

We have little flag stickers from over 100 countries / regions. The first flag is your native language and goes at the top. The rest follow in order or ability. It's open to all nationalities and languages and you can talk about anything you like. You don´t have to be an advanced speaker, or even speak a second language - its for all levels!

:::Our spot:::

Our events are free for participants, and always will be. When you arrive just ask at the bar or look for the table with the flags. If you’re shy, send a message to us first and feel free to ask for any information.

The Reception and Drink Specials 7 - 9pm 

See you on Tuesday!
==========================
Vietnamese
==========================
Giao luu trao doi van hoa va ngon ngu voi Mundo Lingo:

::::Chung toi la::::
Chung toi den tu nhieu quoc gia khac nhau, moi lua tuoi va giao tiep da ngon ngu. Moi nguoi gap nhau hang tuan de giao luu, mo rong moi quan he va thuc hanh giao tiep rat nhieu ngon ngu khac nhau.

::::Tham gia nhu the nao::::
Chung toi co hon 100 mau la co nuoc va vung lanh tho khac nhau.
Khi moi buoc vao, hay nhan nhung la co va dan chung len ao ban bat dau tu la co dai dien cho dat nuoc que huong ban den la co nuoc dai dien cho ngon ngu ban muon noi tu muc do giao tiep tot nhat den co ban nhat o phia duoi. 

::::The Bar:::
Su kien mien phi cho tat ca moi nguoi tham du va se luon nhu vay.
Tiep don khach 19h-21h
Uu dai dac biet cho thuc uong va an nhe: tu 7h den 9h

Ban co the tim thay thong tin ve cac su kien khac dien ra khap noi tren the gioi tai www.mundolingo.org

Hen gap ban vao thu ba!"
